#start_time       	done_time        	elapsed	seconds	task	prefix	file
2019-09-21.214047	2019-09-21.214048	NA	1.74	1nt_test_profiles	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/composition/peak-motifs_test_profiles-1str-ovlp_1nt_ci20.tab
2019_09_21.214044	2019_09_21.214044	0	NA	1nt_test_freq	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/composition/peak-motifs_test_freq-1str-ovlp_1nt.tab
2019-09-21.214051	2019-09-21.214052	NA	1.91	2nt_test_profiles	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/composition/peak-motifs_test_profiles-1str-ovlp_2nt_ci20.tab
2019_09_21.214045	2019_09_21.214045	0	NA	2nt_test_freq	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/composition/peak-motifs_test_freq-1str-ovlp_2nt.tab
2019-09-21.214122	2019-09-21.214128	NA	0.25	positions_6nt_2pssm	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/positions_6nt/peak-motifs_positions-2str-noov_6nt_ci50_pssm_log.txt
2019-09-21.214116	2019-09-21.214122	NA	5.72	positions_6nt	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/positions_6nt/peak-motifs_positions-2str-noov_6nt_ci50.tab
2019-09-21.214145	2019-09-21.214149	NA	0.24	positions_7nt_2pssm	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/positions_7nt/peak-motifs_positions-2str-noov_7nt_ci50_pssm_log.txt
2019-09-21.214129	2019-09-21.214144	NA	15.97	positions_7nt	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/positions_7nt/peak-motifs_positions-2str-noov_7nt_ci50.tab
2019-09-21.214152	2019-09-21.214205	NA	0.58	motifs_disco_compa	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/discovered_motifs/peak-motifs_motifs_disco_compa.tab
2019-09-21.214047	2019-09-21.214048	NA	1.74	1nt_test_profiles	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/composition/peak-motifs_test_profiles-1str-ovlp_1nt_ci20.tab
2019_09_21.214044	2019_09_21.214044	0	NA	1nt_test_freq	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/composition/peak-motifs_test_freq-1str-ovlp_1nt.tab
2019-09-21.214051	2019-09-21.214052	NA	1.91	2nt_test_profiles	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/composition/peak-motifs_test_profiles-1str-ovlp_2nt_ci20.tab
2019_09_21.214045	2019_09_21.214045	0	NA	2nt_test_freq	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/composition/peak-motifs_test_freq-1str-ovlp_2nt.tab
2019-09-21.214101	2019-09-21.214108	NA	0.26	oligos_6nt_mkv3_2pssm	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/oligos_6nt_mkv3/peak-motifs_oligos-2str-noov_6nt_mkv3_pssm_log.txt
2019-09-21.214100	2019-09-21.214101	NA	0.95	oligos_6nt_mkv3	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/oligos_6nt_mkv3/peak-motifs_oligos-2str-noov_6nt_mkv3.tab
2019-09-21.214122	2019-09-21.214128	NA	0.25	positions_6nt_2pssm	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/positions_6nt/peak-motifs_positions-2str-noov_6nt_ci50_pssm_log.txt
2019-09-21.214116	2019-09-21.214122	NA	5.72	positions_6nt	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/positions_6nt/peak-motifs_positions-2str-noov_6nt_ci50.tab
