; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/discovered_motifs/oligos_6nt_mkv3_m1/peak-motifs_oligos_6nt_mkv3_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-480	-460	-470	2	2	256	0.00781	0.00781	1.00000
-460	-440	-450	0	2	254	0.00000	0.00781	0.99219
-440	-420	-430	0	2	254	0.00000	0.00781	0.99219
-420	-400	-410	0	2	254	0.00000	0.00781	0.99219
-400	-380	-390	0	2	254	0.00000	0.00781	0.99219
-380	-360	-370	0	2	254	0.00000	0.00781	0.99219
-360	-340	-350	0	2	254	0.00000	0.00781	0.99219
-340	-320	-330	0	2	254	0.00000	0.00781	0.99219
-320	-300	-310	0	2	254	0.00000	0.00781	0.99219
-300	-280	-290	0	2	254	0.00000	0.00781	0.99219
-280	-260	-270	0	2	254	0.00000	0.00781	0.99219
-260	-240	-250	0	2	254	0.00000	0.00781	0.99219
-240	-220	-230	0	2	254	0.00000	0.00781	0.99219
-220	-200	-210	2	4	254	0.00781	0.01562	0.99219
-200	-180	-190	2	6	252	0.00781	0.02344	0.98438
-180	-160	-170	0	6	250	0.00000	0.02344	0.97656
-160	-140	-150	2	8	250	0.00781	0.03125	0.97656
-140	-120	-130	0	8	248	0.00000	0.03125	0.96875
-120	-100	-110	2	10	248	0.00781	0.03906	0.96875
-100	-80	-90	2	12	246	0.00781	0.04688	0.96094
-80	-60	-70	2	14	244	0.00781	0.05469	0.95312
-60	-40	-50	0	14	242	0.00000	0.05469	0.94531
-40	-20	-30	0	14	242	0.00000	0.05469	0.94531
-20	0	-10	4	18	242	0.01562	0.07031	0.94531
0	20	10	2	20	238	0.00781	0.07812	0.92969
20	40	30	2	22	236	0.00781	0.08594	0.92188
40	60	50	2	24	234	0.00781	0.09375	0.91406
60	80	70	2	26	232	0.00781	0.10156	0.90625
80	100	90	116	142	230	0.45312	0.55469	0.89844
100	120	110	90	232	114	0.35156	0.90625	0.44531
120	140	130	2	234	24	0.00781	0.91406	0.09375
140	160	150	6	240	22	0.02344	0.93750	0.08594
160	180	170	0	240	16	0.00000	0.93750	0.06250
180	200	190	0	240	16	0.00000	0.93750	0.06250
200	220	210	2	242	16	0.00781	0.94531	0.06250
220	240	230	0	242	14	0.00000	0.94531	0.05469
240	260	250	2	244	14	0.00781	0.95312	0.05469
260	280	270	2	246	12	0.00781	0.96094	0.04688
280	300	290	2	248	10	0.00781	0.96875	0.03906
300	320	310	2	250	8	0.00781	0.97656	0.03125
320	340	330	0	250	6	0.00000	0.97656	0.02344
340	360	350	0	250	6	0.00000	0.97656	0.02344
360	380	370	0	250	6	0.00000	0.97656	0.02344
380	400	390	4	254	6	0.01562	0.99219	0.02344
400	420	410	2	256	2	0.00781	1.00000	0.00781
; Statistics:
; -----------
; class interval     	20
; classes            	45
; count              	256
; sum                	24770
; mean               	96.7578
; median class       	[60..80[
; var                	8.92e+03
; std                	94.4521
; min                	-468.5
; max                	406.5
; range              	875
; Host name	rsat-tagc
; Job started	2019-09-21.214208
; Job done	2019-09-21.214208
; Seconds	0.27
;	user	0.27
;	system	0.01
;	cuser	0
;	csystem	0
