; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/discovered_motifs/positions_6nt_m2/peak-motifs_positions_6nt_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-440	-420	-430	1	1	48	0.02083	0.02083	1.00000
-420	-400	-410	2	3	47	0.04167	0.06250	0.97917
-400	-380	-390	1	4	45	0.02083	0.08333	0.93750
-380	-360	-370	2	6	44	0.04167	0.12500	0.91667
-360	-340	-350	1	7	42	0.02083	0.14583	0.87500
-340	-320	-330	4	11	41	0.08333	0.22917	0.85417
-320	-300	-310	0	11	37	0.00000	0.22917	0.77083
-300	-280	-290	0	11	37	0.00000	0.22917	0.77083
-280	-260	-270	0	11	37	0.00000	0.22917	0.77083
-260	-240	-250	0	11	37	0.00000	0.22917	0.77083
-240	-220	-230	2	13	37	0.04167	0.27083	0.77083
-220	-200	-210	1	14	35	0.02083	0.29167	0.72917
-200	-180	-190	2	16	34	0.04167	0.33333	0.70833
-180	-160	-170	1	17	32	0.02083	0.35417	0.66667
-160	-140	-150	1	18	31	0.02083	0.37500	0.64583
-140	-120	-130	0	18	30	0.00000	0.37500	0.62500
-120	-100	-110	2	20	30	0.04167	0.41667	0.62500
-100	-80	-90	1	21	28	0.02083	0.43750	0.58333
-80	-60	-70	1	22	27	0.02083	0.45833	0.56250
-60	-40	-50	1	23	26	0.02083	0.47917	0.54167
-40	-20	-30	0	23	25	0.00000	0.47917	0.52083
-20	0	-10	2	25	25	0.04167	0.52083	0.52083
0	20	10	0	25	23	0.00000	0.52083	0.47917
20	40	30	0	25	23	0.00000	0.52083	0.47917
40	60	50	1	26	23	0.02083	0.54167	0.47917
60	80	70	3	29	22	0.06250	0.60417	0.45833
80	100	90	1	30	19	0.02083	0.62500	0.39583
100	120	110	1	31	18	0.02083	0.64583	0.37500
120	140	130	1	32	17	0.02083	0.66667	0.35417
140	160	150	1	33	16	0.02083	0.68750	0.33333
160	180	170	0	33	15	0.00000	0.68750	0.31250
180	200	190	2	35	15	0.04167	0.72917	0.31250
200	220	210	1	36	13	0.02083	0.75000	0.27083
220	240	230	2	38	12	0.04167	0.79167	0.25000
240	260	250	1	39	10	0.02083	0.81250	0.20833
260	280	270	0	39	9	0.00000	0.81250	0.18750
280	300	290	0	39	9	0.00000	0.81250	0.18750
300	320	310	0	39	9	0.00000	0.81250	0.18750
320	340	330	0	39	9	0.00000	0.81250	0.18750
340	360	350	0	39	9	0.00000	0.81250	0.18750
360	380	370	1	40	9	0.02083	0.83333	0.18750
380	400	390	2	42	8	0.04167	0.87500	0.16667
400	420	410	0	42	6	0.00000	0.87500	0.12500
420	440	430	1	43	6	0.02083	0.89583	0.12500
440	460	450	3	46	5	0.06250	0.95833	0.10417
460	480	470	1	47	2	0.02083	0.97917	0.04167
480	500	490	1	48	1	0.02083	1.00000	0.02083
; Statistics:
; -----------
; class interval     	20
; classes            	47
; count              	48
; sum                	134
; mean               	2.79167
; median class       	[-40..-20[
; var                	8.19e+04
; std                	286.257
; min                	-437.5
; max                	484.5
; range              	922
; Host name	rsat-tagc
; Job started	2019-09-21.214215
; Job done	2019-09-21.214215
; Seconds	0.24
;	user	0.24
;	system	0.04
;	cuser	0
;	csystem	0
