; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/discovered_motifs/positions_7nt/peak-motifs_positions_7nt_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-480	-460	-470	2	2	227	0.00881	0.00881	1.00000
-460	-440	-450	0	2	225	0.00000	0.00881	0.99119
-440	-420	-430	0	2	225	0.00000	0.00881	0.99119
-420	-400	-410	0	2	225	0.00000	0.00881	0.99119
-400	-380	-390	0	2	225	0.00000	0.00881	0.99119
-380	-360	-370	0	2	225	0.00000	0.00881	0.99119
-360	-340	-350	0	2	225	0.00000	0.00881	0.99119
-340	-320	-330	0	2	225	0.00000	0.00881	0.99119
-320	-300	-310	0	2	225	0.00000	0.00881	0.99119
-300	-280	-290	0	2	225	0.00000	0.00881	0.99119
-280	-260	-270	0	2	225	0.00000	0.00881	0.99119
-260	-240	-250	0	2	225	0.00000	0.00881	0.99119
-240	-220	-230	0	2	225	0.00000	0.00881	0.99119
-220	-200	-210	2	4	225	0.00881	0.01762	0.99119
-200	-180	-190	2	6	223	0.00881	0.02643	0.98238
-180	-160	-170	0	6	221	0.00000	0.02643	0.97357
-160	-140	-150	0	6	221	0.00000	0.02643	0.97357
-140	-120	-130	0	6	221	0.00000	0.02643	0.97357
-120	-100	-110	0	6	221	0.00000	0.02643	0.97357
-100	-80	-90	0	6	221	0.00000	0.02643	0.97357
-80	-60	-70	2	8	221	0.00881	0.03524	0.97357
-60	-40	-50	0	8	219	0.00000	0.03524	0.96476
-40	-20	-30	0	8	219	0.00000	0.03524	0.96476
-20	0	-10	6	14	219	0.02643	0.06167	0.96476
0	20	10	2	16	213	0.00881	0.07048	0.93833
20	40	30	2	18	211	0.00881	0.07930	0.92952
40	60	50	2	20	209	0.00881	0.08811	0.92070
60	80	70	2	22	207	0.00881	0.09692	0.91189
80	100	90	106	128	205	0.46696	0.56388	0.90308
100	120	110	78	206	99	0.34361	0.90749	0.43612
120	140	130	1	207	21	0.00441	0.91189	0.09251
140	160	150	6	213	20	0.02643	0.93833	0.08811
160	180	170	0	213	14	0.00000	0.93833	0.06167
180	200	190	0	213	14	0.00000	0.93833	0.06167
200	220	210	2	215	14	0.00881	0.94714	0.06167
220	240	230	0	215	12	0.00000	0.94714	0.05286
240	260	250	0	215	12	0.00000	0.94714	0.05286
260	280	270	2	217	12	0.00881	0.95595	0.05286
280	300	290	2	219	10	0.00881	0.96476	0.04405
300	320	310	2	221	8	0.00881	0.97357	0.03524
320	340	330	0	221	6	0.00000	0.97357	0.02643
340	360	350	0	221	6	0.00000	0.97357	0.02643
360	380	370	0	221	6	0.00000	0.97357	0.02643
380	400	390	4	225	6	0.01762	0.99119	0.02643
400	420	410	2	227	2	0.00881	1.00000	0.00881
; Statistics:
; -----------
; class interval     	20
; classes            	45
; count              	227
; sum                	22583.5
; mean               	99.4868
; median class       	[60..80[
; var                	8.76e+03
; std                	93.5872
; min                	-468.5
; max                	406.5
; range              	875
; Host name	rsat-tagc
; Job started	2019-09-21.214220
; Job done	2019-09-21.214220
; Seconds	0.25
;	user	0.25
;	system	0.03
;	cuser	0
;	csystem	0
