#start_time       	done_time        	elapsed	seconds	task	prefix	file
2019-09-21.224032	2019-09-21.224033	NA	1.23	1nt_test_profiles	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/composition/peak-motifs_test_profiles-1str-ovlp_1nt_ci20.tab
2019_09_21.224030	2019_09_21.224030	0	NA	1nt_test_freq	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/composition/peak-motifs_test_freq-1str-ovlp_1nt.tab
2019-09-21.224035	2019-09-21.224036	NA	1.32	2nt_test_profiles	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/composition/peak-motifs_test_profiles-1str-ovlp_2nt_ci20.tab
2019_09_21.224031	2019_09_21.224031	0	NA	2nt_test_freq	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/composition/peak-motifs_test_freq-1str-ovlp_2nt.tab
2019-09-21.224108	2019-09-21.224112	NA	0.25	positions_6nt_2pssm	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/positions_6nt/peak-motifs_positions-2str-noov_6nt_ci50_pssm_log.txt
2019-09-21.224103	2019-09-21.224107	NA	4.74	positions_6nt	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/positions_6nt/peak-motifs_positions-2str-noov_6nt_ci50.tab
2019-09-21.224127	2019-09-21.224127	NA	0.24	positions_7nt_2pssm	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/positions_7nt/peak-motifs_positions-2str-noov_7nt_ci50_pssm_log.txt
2019-09-21.224113	2019-09-21.224127	NA	14.58	positions_7nt	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/positions_7nt/peak-motifs_positions-2str-noov_7nt_ci50.tab
2019-09-21.224130	2019-09-21.224142	NA	0.55	motifs_disco_compa	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/discovered_motifs/peak-motifs_motifs_disco_compa.tab
2019-09-21.224032	2019-09-21.224033	NA	1.23	1nt_test_profiles	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/composition/peak-motifs_test_profiles-1str-ovlp_1nt_ci20.tab
2019_09_21.224030	2019_09_21.224030	0	NA	1nt_test_freq	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/composition/peak-motifs_test_freq-1str-ovlp_1nt.tab
2019-09-21.224035	2019-09-21.224036	NA	1.32	2nt_test_profiles	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/composition/peak-motifs_test_profiles-1str-ovlp_2nt_ci20.tab
2019_09_21.224031	2019_09_21.224031	0	NA	2nt_test_freq	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/composition/peak-motifs_test_freq-1str-ovlp_2nt.tab
2019-09-21.224045	2019-09-21.224051	NA	0.25	oligos_6nt_mkv2_2pssm	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/oligos_6nt_mkv2/peak-motifs_oligos-2str-noov_6nt_mkv2_pssm_log.txt
2019-09-21.224044	2019-09-21.224045	NA	0.92	oligos_6nt_mkv2	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/oligos_6nt_mkv2/peak-motifs_oligos-2str-noov_6nt_mkv2.tab
2019-09-21.224108	2019-09-21.224112	NA	0.25	positions_6nt_2pssm	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/positions_6nt/peak-motifs_positions-2str-noov_6nt_ci50_pssm_log.txt
2019-09-21.224103	2019-09-21.224107	NA	4.74	positions_6nt	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/positions_6nt/peak-motifs_positions-2str-noov_6nt_ci50.tab
2019-09-21.224055	2019-09-21.224103	NA	0.23	oligos_7nt_mkv2_2pssm	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/oligos_7nt_mkv2/peak-motifs_oligos-2str-noov_7nt_mkv2_pssm_log.txt
2019-09-21.224052	2019-09-21.224055	NA	2.98	oligos_7nt_mkv2	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/oligos_7nt_mkv2/peak-motifs_oligos-2str-noov_7nt_mkv2.tab
2019-09-21.224127	2019-09-21.224127	NA	0.24	positions_7nt_2pssm	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/positions_7nt/peak-motifs_positions-2str-noov_7nt_ci50_pssm_log.txt
2019-09-21.224113	2019-09-21.224127	NA	14.58	positions_7nt	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/positions_7nt/peak-motifs_positions-2str-noov_7nt_ci50.tab
2019-09-21.224130	2019-09-21.224142	NA	0.55	motifs_disco_compa	peak-motifs	/workspace/rsat/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/discovered_motifs/peak-motifs_motifs_disco_compa.tab
