; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/discovered_motifs/oligos_7nt_mkv2_m2/peak-motifs_oligos_7nt_mkv2_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-480	-460	-470	1	1	118	0.00847	0.00847	1.00000
-460	-440	-450	0	1	117	0.00000	0.00847	0.99153
-440	-420	-430	0	1	117	0.00000	0.00847	0.99153
-420	-400	-410	0	1	117	0.00000	0.00847	0.99153
-400	-380	-390	0	1	117	0.00000	0.00847	0.99153
-380	-360	-370	1	2	117	0.00847	0.01695	0.99153
-360	-340	-350	0	2	116	0.00000	0.01695	0.98305
-340	-320	-330	0	2	116	0.00000	0.01695	0.98305
-320	-300	-310	0	2	116	0.00000	0.01695	0.98305
-300	-280	-290	0	2	116	0.00000	0.01695	0.98305
-280	-260	-270	1	3	116	0.00847	0.02542	0.98305
-260	-240	-250	0	3	115	0.00000	0.02542	0.97458
-240	-220	-230	0	3	115	0.00000	0.02542	0.97458
-220	-200	-210	1	4	115	0.00847	0.03390	0.97458
-200	-180	-190	0	4	114	0.00000	0.03390	0.96610
-180	-160	-170	0	4	114	0.00000	0.03390	0.96610
-160	-140	-150	1	5	114	0.00847	0.04237	0.96610
-140	-120	-130	0	5	113	0.00000	0.04237	0.95763
-120	-100	-110	1	6	113	0.00847	0.05085	0.95763
-100	-80	-90	1	7	112	0.00847	0.05932	0.94915
-80	-60	-70	0	7	111	0.00000	0.05932	0.94068
-60	-40	-50	0	7	111	0.00000	0.05932	0.94068
-40	-20	-30	1	8	111	0.00847	0.06780	0.94068
-20	0	-10	3	11	110	0.02542	0.09322	0.93220
0	20	10	0	11	107	0.00000	0.09322	0.90678
20	40	30	0	11	107	0.00000	0.09322	0.90678
40	60	50	3	14	107	0.02542	0.11864	0.90678
60	80	70	2	16	104	0.01695	0.13559	0.88136
80	100	90	53	69	102	0.44915	0.58475	0.86441
100	120	110	34	103	49	0.28814	0.87288	0.41525
120	140	130	2	105	15	0.01695	0.88983	0.12712
140	160	150	3	108	13	0.02542	0.91525	0.11017
160	180	170	0	108	10	0.00000	0.91525	0.08475
180	200	190	0	108	10	0.00000	0.91525	0.08475
200	220	210	2	110	10	0.01695	0.93220	0.08475
220	240	230	1	111	8	0.00847	0.94068	0.06780
240	260	250	1	112	7	0.00847	0.94915	0.05932
260	280	270	2	114	6	0.01695	0.96610	0.05085
280	300	290	1	115	4	0.00847	0.97458	0.03390
300	320	310	1	116	3	0.00847	0.98305	0.02542
320	340	330	0	116	2	0.00000	0.98305	0.01695
340	360	350	0	116	2	0.00000	0.98305	0.01695
360	380	370	0	116	2	0.00000	0.98305	0.01695
380	400	390	0	116	2	0.00000	0.98305	0.01695
400	420	410	1	117	2	0.00847	0.99153	0.01695
420	440	430	0	117	1	0.00000	0.99153	0.00847
440	460	450	0	117	1	0.00000	0.99153	0.00847
460	480	470	1	118	1	0.00847	1.00000	0.00847
; Statistics:
; -----------
; class interval     	20
; classes            	48
; count              	118
; sum                	10955
; mean               	92.839
; median class       	[60..80[
; var                	1.21e+04
; std                	109.94
; min                	-468.5
; max                	463.5
; range              	932
; Host name	rsat-tagc
; Job started	2019-09-21.224154
; Job done	2019-09-21.224154
; Seconds	0.26
;	user	0.27
;	system	0.01
;	cuser	0
;	csystem	0
