; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/discovered_motifs/positions_6nt/peak-motifs_positions_6nt_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-480	-460	-470	1	1	93	0.01075	0.01075	1.00000
-460	-440	-450	1	2	92	0.01075	0.02151	0.98925
-440	-420	-430	0	2	91	0.00000	0.02151	0.97849
-420	-400	-410	0	2	91	0.00000	0.02151	0.97849
-400	-380	-390	0	2	91	0.00000	0.02151	0.97849
-380	-360	-370	1	3	91	0.01075	0.03226	0.97849
-360	-340	-350	1	4	90	0.01075	0.04301	0.96774
-340	-320	-330	1	5	89	0.01075	0.05376	0.95699
-320	-300	-310	0	5	88	0.00000	0.05376	0.94624
-300	-280	-290	0	5	88	0.00000	0.05376	0.94624
-280	-260	-270	0	5	88	0.00000	0.05376	0.94624
-260	-240	-250	0	5	88	0.00000	0.05376	0.94624
-240	-220	-230	0	5	88	0.00000	0.05376	0.94624
-220	-200	-210	1	6	88	0.01075	0.06452	0.94624
-200	-180	-190	0	6	87	0.00000	0.06452	0.93548
-180	-160	-170	0	6	87	0.00000	0.06452	0.93548
-160	-140	-150	0	6	87	0.00000	0.06452	0.93548
-140	-120	-130	2	8	87	0.02151	0.08602	0.93548
-120	-100	-110	0	8	85	0.00000	0.08602	0.91398
-100	-80	-90	0	8	85	0.00000	0.08602	0.91398
-80	-60	-70	0	8	85	0.00000	0.08602	0.91398
-60	-40	-50	0	8	85	0.00000	0.08602	0.91398
-40	-20	-30	1	9	85	0.01075	0.09677	0.91398
-20	0	-10	3	12	84	0.03226	0.12903	0.90323
0	20	10	1	13	81	0.01075	0.13978	0.87097
20	40	30	1	14	80	0.01075	0.15054	0.86022
40	60	50	2	16	79	0.02151	0.17204	0.84946
60	80	70	2	18	77	0.02151	0.19355	0.82796
80	100	90	29	47	75	0.31183	0.50538	0.80645
100	120	110	31	78	46	0.33333	0.83871	0.49462
120	140	130	0	78	15	0.00000	0.83871	0.16129
140	160	150	1	79	15	0.01075	0.84946	0.16129
160	180	170	0	79	14	0.00000	0.84946	0.15054
180	200	190	3	82	14	0.03226	0.88172	0.15054
200	220	210	2	84	11	0.02151	0.90323	0.11828
220	240	230	0	84	9	0.00000	0.90323	0.09677
240	260	250	1	85	9	0.01075	0.91398	0.09677
260	280	270	3	88	8	0.03226	0.94624	0.08602
280	300	290	1	89	5	0.01075	0.95699	0.05376
300	320	310	1	90	4	0.01075	0.96774	0.04301
320	340	330	0	90	3	0.00000	0.96774	0.03226
340	360	350	0	90	3	0.00000	0.96774	0.03226
360	380	370	0	90	3	0.00000	0.96774	0.03226
380	400	390	2	92	3	0.02151	0.98925	0.03226
400	420	410	1	93	1	0.01075	1.00000	0.01075
; Statistics:
; -----------
; class interval     	20
; classes            	45
; count              	93
; sum                	7816.5
; mean               	84.0484
; median class       	[60..80[
; var                	2.15e+04
; std                	146.588
; min                	-467.5
; max                	405.5
; range              	873
; Host name	rsat-tagc
; Job started	2019-09-21.224149
; Job done	2019-09-21.224149
; Seconds	0.27
;	user	0.28
;	system	0.01
;	cuser	0
;	csystem	0
