Well	Cycle	ΔRn
A1	1	-193.4169921875
A1	2	193.4169921875
A1	3	500.4619140625
A1	4	794.9296875
A1	5	990.658203125
A1	6	1202.4111328125
A1	7	1342.5107421875
A1	8	1447.5029296875
A1	9	1504.701171875
A1	10	1599.5849609375
A1	11	1703.875
A1	12	1779.5107421875
A1	13	1844.97265625
A1	14	1918.9716796875
A1	15	1983.6396484375
A1	16	2024.037109375
A1	17	2111.0224609375
A1	18	2189.5146484375
A1	19	2244.857421875
A1	20	2356.4306640625
A1	21	2518.9814453125
A1	22	2922.8974609375
A1	23	3726.4619140625
A1	24	5302.0302734375
A1	25	8427.4267578125
A1	26	14288.5322265625
A1	27	25175.92578125
A1	28	43825.9140625
A1	29	71483.5
A1	30	102873.828125
A1	31	127243
A1	32	140819.859375
A1	33	149457.109375
A1	34	154182.6875
A1	35	157656.359375
A1	36	159927.3125
A1	37	161300.9375
A1	38	162420.609375
A1	39	162588.90625
A1	40	162911.65625
A2	1	-527.6494140625
A2	2	527.6494140625
A2	3	1474.3916015625
A2	4	2375.6337890625
A2	5	3824.2294921875
A2	6	6289.4580078125
A2	7	10631.4423828125
A2	8	18565.01953125
A2	9	32483.34765625
A2	10	55960.6171875
A2	11	89021.0234375
A2	12	124854.9140625
A2	13	148923.640625
A2	14	157263.78125
A2	15	162545.3125
A2	16	165434.8125
A2	17	168614.3125
A2	18	171435.984375
A2	19	172348.25
A2	20	173809.03125
A2	21	175304.953125
A2	22	176122.4375
A2	23	177284.84375
A2	24	178071.390625
A2	25	179656.453125
A2	26	180084.78125
A2	27	180278.671875
A2	28	181223.328125
A2	29	182028.8125
A2	30	182191.90625
A2	31	182994.359375
A2	32	182894.40625
A2	33	183429.71875
A2	34	183745.78125
A2	35	184478.53125
A2	36	184782.8125
A2	37	184653.90625
A2	38	184974.90625
A2	39	185029.921875
A2	40	185675.5
A3	1	-312.5810546875
A3	2	312.5810546875
A3	3	935.4736328125
A3	4	1693.1826171875
A3	5	2748.95703125
A3	6	4603.2138671875
A3	7	8047.1474609375
A3	8	14466.8505859375
A3	9	26071.54296875
A3	10	46300.0703125
A3	11	77628.125
A3	12	116768.1796875
A3	13	152717.34375
A3	14	169203.6875
A3	15	176663.25
A3	16	180033.578125
A3	17	183515.03125
A3	18	186778.953125
A3	19	188590.28125
A3	20	190678.90625
A3	21	192096.8125
A3	22	192605.8125
A3	23	194132.328125
A3	24	195015.46875
A3	25	195952.515625
A3	26	196491.828125
A3	27	197445.09375
A3	28	198246.734375
A3	29	198884.125
A3	30	199343.03125
A3	31	199910.8125
A3	32	200497.59375
A3	33	201233.515625
A3	34	201271.71875
A3	35	201692.578125
A3	36	202205.890625
A3	37	202232.75
A3	38	203056.140625
A3	39	202726.40625
A3	40	202624.4375
A4	1	-521.1196289063
A4	2	521.1196289063
A4	3	1146.4458007813
A4	4	1837.7114257813
A4	5	3013.0756835938
A4	6	4863.4223632813
A4	7	8447.810546875
A4	8	14898.392578125
A4	9	26559.419921875
A4	10	46958.234375
A4	11	79519.0390625
A4	12	117949.7421875
A4	13	153428.9375
A4	14	170300.203125
A4	15	177814
A4	16	182355.71875
A4	17	185460.28125
A4	18	189178.359375
A4	19	192229.71875
A4	20	194415.5625
A4	21	195681.875
A4	22	198246.75
A4	23	198750.3125
A4	24	198978.09375
A4	25	200190.25
A4	26	201265.046875
A4	27	204101.609375
A4	28	203362.125
A4	29	204235.3125
A4	30	204322.8125
A4	31	204929.546875
A4	32	205245.375
A4	33	206165.5
A4	34	206601.4375
A4	35	207956.96875
A4	36	208613.0625
A4	37	206608.625
A4	38	208652.421875
A4	39	206647.96875
A4	40	207158.5625
A5	1	-317.3852539063
A5	2	317.3852539063
A5	3	808.6088867188
A5	4	1440.6752929688
A5	5	2369.8676757813
A5	6	3994.9438476563
A5	7	6926.3188476563
A5	8	12348.189453125
A5	9	22212.97265625
A5	10	39499.09765625
A5	11	66315.8046875
A5	12	100492.34375
A5	13	131977.78125
A5	14	147184.328125
A5	15	153390.015625
A5	16	156591.921875
A5	17	159555.234375
