V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0728863	0	0	0	0	0	0.0728863	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234229	0	0	0	0	0	0.0234229	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0788644	0	0	0	0	0	0.0115668	0.0651945	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1711712	0	0	0	0	0	0	0.1891892	0.4594595	0.1666667	0.1801802	0.1846847	0.5315315	0.1666667	0	0	0	0	0	0	0	0	0
1	0.9488095	0.9571428	0.9726191	0.9369048	1	0.8738095	1	0.8154762	0.9571428	0.997619	0.9095238	0.9833333	1	0.9857143	0.9726191	1	1	1	1	1	0.9833333	1	0.9642857	1	1	1	1	1	1	1	1	0.9666666	1	1	0.9571428	1	0.9773809	0.9416667	0.8916667
1	1	1	0.978864	1	1	1	1	1	1	0.9784236	0.9885513	1	1	1	1	0.9991193	1	0.9819463	1	1	1	0.9889916	0.9784236	1	1	1	0.993395	1	0.9925143	1	1	1	1	0.994716	0.990753	1	1	0.9991193	0.978864
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	0.9974811	1	1	1	1	0.9701931	0.9970613	0.9995802	0.9895046	1	1	1	1	1	1	0.9970613	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9987406	1	1	1	1	0.9991603
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
