Geneid	S38.fastq.gz	S37.fastq.gz	S35.fastq.gz	S32.fastq.gz	S31.fastq.gz	S29.fastq.gz	S26.fastq.gz	S25.fastq.gz	S23.fastq.gz	S20prime.fastq.gz	S20.fastq.gz	S19.fastq.gz	S16.fastq.gz	S15.fastq.gz	S12.fastq.gz	S11.fastq.gz	S8.fastq.gz	S7.fastq.gz	S4.fastq.gz	S3.fastq.gz
GWK60_A00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_A00033	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0
GWK60_A00055	96	121	391	300	392	318	445	205	252	139	123	94	114	60	63	92	31	39	61	47
GWK60_A00077	603	530	1153	1102	1505	1390	2409	914	1665	1370	1115	774	1046	628	768	979	327	556	346	272
GWK60_A00099	3127	2837	1591	1797	2178	2098	4090	1367	2849	2762	2187	1632	2359	1529	2548	2733	1421	2119	1875	1463
GWK60_A00121	718	634	719	329	500	397	736	301	614	489	409	307	588	359	479	528	260	410	407	320
GWK60_A00143	1256	1140	929	964	1201	1082	2073	717	1490	1236	966	731	991	612	1050	1076	478	812	687	457
GWK60_A00165	1418	1348	860	774	1082	836	1794	620	1049	1000	783	552	795	546	969	998	499	741	882	638
GWK60_A00187	446	456	434	446	511	504	1095	339	713	784	570	511	670	401	596	627	238	430	219	203
GWK60_A00209	428	400	454	441	567	488	917	291	497	404	310	259	332	184	290	285	139	224	244	164
GWK60_A00231	97	79	821	969	1680	1051	2352	780	1513	1132	877	624	766	477	424	442	72	124	42	26
GWK60_A00253	2339	2094	2056	1784	3246	2395	3521	1629	3329	2556	2140	1636	1945	1267	2667	3053	1415	2291	1689	1513
GWK60_A00275	94	98	173	156	130	142	204	90	127	65	49	41	45	18	32	50	29	51	105	73
GWK60_A00297	1718	1736	1345	1464	2437	1718	3180	1253	2523	2498	1833	1541	2146	1409	2466	2700	1157	2127	955	798
GWK60_A00319	2899	2532	1141	1190	1324	1189	2266	844	1584	1469	1209	959	1359	907	1510	1698	956	1525	1735	1442
GWK60_A00341	824	712	963	877	943	1055	2014	694	1266	1003	811	589	894	624	746	1160	499	1179	456	519
GWK60_A00363	1215	992	749	731	943	802	1511	531	1032	917	784	495	702	477	497	661	306	502	617	497
GWK60_A00385	40191	34029	57020	38488	30486	55976	101857	34508	58920	36633	28775	20737	30208	17125	24336	21925	11840	17350	24066	17166
GWK60_A00407	1103	1108	1826	1690	2676	2406	3422	1465	2926	2484	1989	1204	1827	1165	1322	1731	531	1048	440	338
GWK60_A00429	680	642	1021	967	1285	1072	3105	851	1659	1351	1108	909	1221	691	961	974	419	693	512	339
GWK60_A00451	157	128	173	218	280	254	435	165	324	288	239	188	218	133	188	198	96	157	122	70
GWK60_A00473	287	249	376	283	326	354	716	247	439	260	215	150	197	118	192	209	112	197	229	171
GWK60_A00495	519	444	473	482	704	551	825	301	578	512	391	294	329	212	360	405	199	345	237	169
GWK60_A00517	1064	850	134	231	220	182	273	130	177	97	100	73	56	25	87	109	171	195	469	362
GWK60_A00539	3	2	7	11	16	4	26	10	10	14	5	7	3	6	6	8	6	2	0	0
GWK60_A00561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GWK60_A00583	6	11	12	11	24	24	9	9	13	11	12	11	9	9	9	12	2	3	1	2
GWK60_A00605	141	131	402	488	551	631	969	365	617	389	363	225	349	189	278	318	106	197	62	49
GWK60_A00627	0	0	1	1	6	4	13	0	2	3	2	0	2	2	1	2	0	0	0	0
GWK60_A00649	4	3	13	10	30	29	37	15	20	24	14	19	23	11	17	12	3	0	2	0
GWK60_A00671	998	958	1441	1393	1704	1759	3360	1187	2179	1795	1407	924	1232	735	948	1023	396	572	353	251
GWK60_A00693	581	534	679	690	849	766	1348	473	935	687	639	440	582	386	598	707	325	498	352	297
GWK60_A00715	478	481	272	289	399	310	582	204	428	409	297	246	257	189	321	407	229	333	277	232
GWK60_A00737	340	346	189	165	125	146	349	115	171	102	60	59	68	51	73	51	60	65	185	155
GWK60_A00759	295	328	664	555	637	675	1149	426	621	374	345	246	292	180	208	244	135	164	278	191
GWK60_A00781	630	588	488	468	621	565	935	339	638	545	404	302	430	273	482	568	350	470	371	277
GWK60_A00803	547	623	428	458	505	483	785	310	556	388	341	251	281	172	311	376	233	326	350	278
GWK60_A00825	301	329	129	96	126	101	122	37	50	42	40	34	33	19	38	40	47	121	242	139
GWK60_A00847	424	505	785	790	1456	937	1116	570	970	1013	747	510	780	479	628	747	278	490	382	248
GWK60_A00869	8230	6772	475	325	222	326	535	189	226	168	149	148	169	106	797	918	1988	2442	5372	4616
GWK60_A00891	720	727	583	756	1044	799	903	414	618	529	425	238	304	191	322	407	202	315	366	259
GWK60_A00913	704	764	413	400	495	444	646	304	440	302	225	204	204	125	279	350	250	353	460	311
GWK60_A00935	4346	4241	5133	5214	7377	6751	7715	3676	5866	5776	4467	2585	4449	2881	2906	3253	948	1604	1589	1174
GWK60_A00957	1977	1590	1033	1117	1272	1095	1723	665	952	643	505	368	325	253	547	633	596	914	1239	960
GWK60_A00979	150	146	156	174	403	190	298	140	263	223	150	107	142	136	167	212	47	77	58	43
GWK60_A01001	2820	2712	3783	3850	6484	4795	4959	2353	4824	5443	4084	2259	3850	2340	2247	2532	749	1690	942	688
GWK60_A01023	807	842	1368	1480	2035	1706	2627	953	1812	1480	1177	819	993	673	872	1043	392	573	359	274
GWK60_A01045	334	323	141	100	185	99	194	64	196	112	100	106	117	67	162	155	113	157	252	169
GWK60_A01067	83	93	217	250	371	286	235	162	252	145	139	85	90	60	75	70	53	70	70	69
GWK60_A01089	339	275	240	392	725	408	382	228	452	439	314	253	207	146	261	323	186	340	256	179
GWK60_A01111	1895	1220	115	84	277	110	149	59	113	88	61	59	66	63	108	140	92	189	629	506
GWK60_A01133	2891	1626	114	117	278	223	424	231	986	1623	1221	1082	1685	1390	1788	2247	946	1826	1081	919
GWK60_A01155	26599	26152	62167	64389	91888	67847	92821	34413	60696	52239	39197	28375	38336	24715	32776	32281	13385	20652	814	691
GWK60_A01177	41	50	610	491	789	602	858	267	405	277	242	129	188	137	106	156	55	104	46	25
GWK60_A01199	18	24	62	45	61	65	123	46	50	68	24	32	49	19	40	37	9	21	13	7
GWK60_A01221	214	192	899	845	1700	1049	1345	511	880	824	575	442	519	344	396	482	131	264	48	53
GWK60_A01243	29	28	45	72	62	63	75	30	64	33	30	22	40	26	34	37	22	23	12	8
GWK60_A01265	6476	5058	2844	2241	2818	2867	4694	1906	3315	2971	2254	1778	2208	1327	3415	3747	2220	3941	4302	3454
GWK60_A01287	679	631	232	230	221	275	505	200	357	309	257	219	309	171	363	388	233	339	373	247
GWK60_A01309	1645	1327	988	601	877	1033	1771	964	1357	1857	1572	1159	1284	724	1023	1069	675	908	711	672
GWK60_A01331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_A01353	20079	16879	1220	616	414	817	957	438	427	147	165	167	171	181	1277	1440	4051	5514	13878	11495
GWK60_A01375	29746	24795	2464	1619	803	1750	3289	1106	1073	703	584	520	706	551	4897	4785	7692	10000	18837	16523
