run	group	timepoint	bases	exp	sra
SRR5873006	exp1	1	85737960	SRX3040487	SRP113638
SRR5873008	exp1	2	98552300	SRX3040485	SRP113638
SRR5873007	exp1	3.5	30649080	SRX3040486	SRP113638
SRR5873010	exp1	5	81929650	SRX3040483	SRP113638
SRR5873009	exp1	6.5	80401640	SRX3040484	SRP113638
SRR5873012	exp1	8	77386705	SRX3040481	SRP113638
SRR5873011	exp1	9.5	38746070	SRX3040482	SRP113638
SRR5873005	exp1	24.67	29964220	SRX3040488	SRP113638
SRR5871522	exp2	0	109380375	SRX3039079	SRP113626
SRR5871455	exp2	0.25	51376650	SRX3039146	SRP113626
SRR5871454	exp2	0.5	70062915	SRX3039147	SRP113626
SRR5871453	exp2	0.75	56122430	SRX3039148	SRP113626
SRR5871411	exp2	1	46597980	SRX3039190	SRP113626
SRR5871418	exp2	1.5	78774410	SRX3039183	SRP113626
SRR5871413	exp2	2	49393240	SRX3039188	SRP113626
SRR5871412	exp2	2.5	42464240	SRX3039189	SRP113626
SRR5871408	exp2	3	30728035	SRX3039193	SRP113626
SRR5871414	exp2	3.5	30957615	SRX3039187	SRP113626
SRR5871698	exp2	4	28030210	SRX3039236	SRP113626
SRR5871409	exp2	4.5	28222155	SRX3039192	SRP113626
SRR5871667	exp2	5	154494795	SRX3039267	SRP113626
SRR5871703	exp2	5.5	121784260	SRX3039231	SRP113626
SRR5871669	exp2	6	120633630	SRX3039265	SRP113626
SRR5871668	exp2	6.5	193163425	SRX3039266	SRP113626
SRR5871671	exp2	7	184161120	SRX3039263	SRP113626
SRR5871670	exp2	7.5	216437455	SRX3039264	SRP113626
SRR5871525	exp2	8	60580520	SRX3039076	SRP113626
SRR5871672	exp2	8.5	44766735	SRX3039262	SRP113626
SRR5871716	exp2	9	37913330	SRX3039218	SRP113626
SRR5871541	exp2	9.5	54542150	SRX3039060	SRP113626
SRR5871446	exp2	10	49124140	SRX3039155	SRP113626
SRR5871447	exp2	10.5	42182595	SRX3039154	SRP113626
SRR5871416	exp2	11	61088625	SRX3039185	SRP113626
SRR5871415	exp2	11.5	67438800	SRX3039186	SRP113626
SRR5871417	exp2	12	75557560	SRX3039184	SRP113626
SRR5871449	exp2	24.67	62528570	SRX3039152	SRP113626
SRR5871456	exp2	24.67	48657180	SRX3039145	SRP113626
