run	group	Pi	timepoint	bases	exp	sra
SRR5873006	exp1	0.06mM	1	85737960	SRX3040487	SRP113638
SRR5873008	exp1	0.06mM	2	98552300	SRX3040485	SRP113638
SRR5873007	exp1	0.06mM	3.5	30649080	SRX3040486	SRP113638
SRR5873010	exp1	0.06mM	5	81929650	SRX3040483	SRP113638
SRR5873009	exp1	0.06mM	6.5	80401640	SRX3040484	SRP113638
SRR5873012	exp1	0.06mM	8	77386705	SRX3040481	SRP113638
SRR5873011	exp1	0.06mM	9.5	38746070	SRX3040482	SRP113638
SRR5873005	exp1	0.06mM	24.67	29964220	SRX3040488	SRP113638
SRR5871522	exp2	0.06mM	0	109380375	SRX3039079	SRP113626
SRR5871455	exp2	0.06mM	0.25	51376650	SRX3039146	SRP113626
SRR5871454	exp2	0.06mM	0.5	70062915	SRX3039147	SRP113626
SRR5871453	exp2	0.06mM	0.75	56122430	SRX3039148	SRP113626
SRR5871411	exp2	0.06mM	1	46597980	SRX3039190	SRP113626
SRR5871418	exp2	0.06mM	1.5	78774410	SRX3039183	SRP113626
SRR5871413	exp2	0.06mM	2	49393240	SRX3039188	SRP113626
SRR5871412	exp2	0.06mM	2.5	42464240	SRX3039189	SRP113626
SRR5871408	exp2	0.06mM	3	30728035	SRX3039193	SRP113626
SRR5871414	exp2	0.06mM	3.5	30957615	SRX3039187	SRP113626
SRR5871698	exp2	0.06mM	4	28030210	SRX3039236	SRP113626
SRR5871409	exp2	0.06mM	4.5	28222155	SRX3039192	SRP113626
SRR5871667	exp2	0.06mM	5	154494795	SRX3039267	SRP113626
SRR5871703	exp2	0.06mM	5.5	121784260	SRX3039231	SRP113626
SRR5871669	exp2	0.06mM	6	120633630	SRX3039265	SRP113626
SRR5871668	exp2	0.06mM	6.5	193163425	SRX3039266	SRP113626
SRR5871671	exp2	0.06mM	7	184161120	SRX3039263	SRP113626
SRR5871670	exp2	0.06mM	7.5	216437455	SRX3039264	SRP113626
SRR5871525	exp2	0.06mM	8	60580520	SRX3039076	SRP113626
SRR5871672	exp2	0.06mM	8.5	44766735	SRX3039262	SRP113626
SRR5871716	exp2	0.06mM	9	37913330	SRX3039218	SRP113626
SRR5871541	exp2	0.06mM	9.5	54542150	SRX3039060	SRP113626
SRR5871446	exp2	0.06mM	10	49124140	SRX3039155	SRP113626
SRR5871447	exp2	0.06mM	10.5	42182595	SRX3039154	SRP113626
SRR5871416	exp2	0.06mM	11	61088625	SRX3039185	SRP113626
SRR5871415	exp2	0.06mM	11.5	67438800	SRX3039186	SRP113626
SRR5871417	exp2	0.06mM	12	75557560	SRX3039184	SRP113626
SRR5873119	exp1	0.2mM	1	59438555	SRX3040374	SRP113638
SRR5872946	exp1	0.2mM	2	48613345	SRX3040547	SRP113638
SRR5872945	exp1	0.2mM	3.5	80311440	SRX3040548	SRP113638
SRR5872944	exp1	0.2mM	5	80764585	SRX3040549	SRP113638
SRR5872943	exp1	0.2mM	6.5	65505605	SRX3040550	SRP113638
SRR5872942	exp1	0.2mM	8	71336595	SRX3040551	SRP113638
SRR5872941	exp1	0.2mM	9.5	73041815	SRX3040552	SRP113638
SRR5873120	exp1	0.2mM	24.67	28341995	SRX3040373	SRP113638
SRR5871531	exp2	0.2mM	0	156997685	SRX3039070	SRP113626
SRR5871517	exp2	0.2mM	0.25	88524800	SRX3039084	SRP113626
SRR5871518	exp2	0.2mM	0.5	108876040	SRX3039083	SRP113626
SRR5871519	exp2	0.2mM	0.75	154630710	SRX3039082	SRP113626
SRR5871564	exp2	0.2mM	1	188260735	SRX3039037	SRP113626
SRR5871565	exp2	0.2mM	1.5	129035595	SRX3039036	SRP113626
SRR5871570	exp2	0.2mM	2	88155990	SRX3039031	SRP113626
SRR5871571	exp2	0.2mM	2.5	84539780	SRX3039030	SRP113626
SRR5871568	exp2	0.2mM	3	65265200	SRX3039033	SRP113626
SRR5871569	exp2	0.2mM	3.5	102565710	SRX3039032	SRP113626
SRR5871574	exp2	0.2mM	4	37621415	SRX3039027	SRP113626
SRR5871575	exp2	0.2mM	4.5	40137435	SRX3039026	SRP113626
SRR5871577	exp2	0.2mM	5	251010370	SRX3039024	SRP113626
SRR5871572	exp2	0.2mM	5.5	208908635	SRX3039029	SRP113626
SRR5871595	exp2	0.2mM	6	221567060	SRX3039006	SRP113626
SRR5871594	exp2	0.2mM	6.5	92604200	SRX3039007	SRP113626
SRR5871593	exp2	0.2mM	7	57326685	SRX3039008	SRP113626
SRR5871592	exp2	0.2mM	7.5	63776375	SRX3039009	SRP113626
SRR5871591	exp2	0.2mM	8	56697030	SRX3039010	SRP113626
SRR5871590	exp2	0.2mM	8.5	55686995	SRX3039011	SRP113626
SRR5871534	exp2	0.2mM	9	57625880	SRX3039067	SRP113626
SRR5871533	exp2	0.2mM	9.5	64729340	SRX3039068	SRP113626
SRR5871528	exp2	0.2mM	10	49221250	SRX3039073	SRP113626
SRR5871520	exp2	0.2mM	10.5	40289470	SRX3039081	SRP113626
SRR5871567	exp2	0.2mM	11	89290370	SRX3039034	SRP113626
SRR5871529	exp2	0.2mM	11.5	76630515	SRX3039072	SRP113626
SRR5871566	exp2	0.2mM	12	119612220	SRX3039035	SRP113626
SRR5873038	exp1	0mM	1	66791340	SRX3040455	SRP113638
SRR5873040	exp1	0mM	2	47064875	SRX3040453	SRP113638
SRR5873041	exp1	0mM	3.5	55914760	SRX3040452	SRP113638
SRR5873034	exp1	0mM	5	84913235	SRX3040459	SRP113638
SRR5873035	exp1	0mM	6.5	61424165	SRX3040458	SRP113638
SRR5873036	exp1	0mM	8	76064230	SRX3040457	SRP113638
SRR5873037	exp1	0mM	9.5	61385885	SRX3040456	SRP113638
SRR5873039	exp1	0mM	24.67	56538570	SRX3040454	SRP113638
SRR5873059	exp1	NA	0	49650810	SRX3040434	SRP113638
