Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Index,Instrument,Isolate,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,STRAIN
SRR5872939,RNA-Seq,55,46484900,PRJNA395936,SAMN07418262,"Microbe\, viral or environmental",27896012,WEIZMANN INSTITUTE OF SCIENCE,2013-06-03,public,"fastq,sra",s3,s3.us-east-1,SRX3040554,uncalculated,uncalculated,missing,missing,138,Illumina HiSeq 2500,missing,missing,exp1_WT_Rep_0_2mM_recovery_2h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_Rep_0_2mM_recovery_2h,Yeast culture,SRP113638,BY4741
SRR5872940,RNA-Seq,55,42681155,PRJNA395936,SAMN07418261,"Microbe\, viral or environmental",25547350,WEIZMANN INSTITUTE OF SCIENCE,2013-06-03,public,"sra,fastq",s3,s3.us-east-1,SRX3040553,uncalculated,uncalculated,missing,missing,137,Illumina HiSeq 2500,missing,missing,exp1_WT_Rep_0_2mM_recovery_1h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_Rep_0_2mM_recovery_1h,Yeast culture,SRP113638,BY4741
SRR5872941,RNA-Seq,55,73041815,PRJNA395936,SAMN07418260,"Microbe\, viral or environmental",44582403,WEIZMANN INSTITUTE OF SCIENCE,2013-06-03,public,"sra,fastq",s3,s3.us-east-1,SRX3040552,uncalculated,uncalculated,missing,missing,136,Illumina HiSeq 2500,missing,missing,exp1_WT_Rep_0_2mM_lowPi_9_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_Rep_0_2mM_lowPi_9_5h,Yeast culture,SRP113638,BY4741
SRR5872942,RNA-Seq,55,71336595,PRJNA395936,SAMN07418259,"Microbe\, viral or environmental",43428806,WEIZMANN INSTITUTE OF SCIENCE,2013-06-03,public,"sra,fastq",s3,s3.us-east-1,SRX3040551,uncalculated,uncalculated,missing,missing,135,Illumina HiSeq 2500,missing,missing,exp1_WT_Rep_0_2mM_lowPi_8h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_Rep_0_2mM_lowPi_8h,Yeast culture,SRP113638,BY4741
SRR5872943,RNA-Seq,55,65505605,PRJNA395936,SAMN07418258,"Microbe\, viral or environmental",40046753,WEIZMANN INSTITUTE OF SCIENCE,2013-06-03,public,"fastq,sra",s3,s3.us-east-1,SRX3040550,uncalculated,uncalculated,missing,missing,134,Illumina HiSeq 2500,missing,missing,exp1_WT_Rep_0_2mM_lowPi_6_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_Rep_0_2mM_lowPi_6_5h,Yeast culture,SRP113638,BY4741
SRR5872944,RNA-Seq,55,80764585,PRJNA395936,SAMN07418257,"Microbe\, viral or environmental",49136794,WEIZMANN INSTITUTE OF SCIENCE,2013-06-03,public,"sra,fastq",s3,s3.us-east-1,SRX3040549,uncalculated,uncalculated,missing,missing,133,Illumina HiSeq 2500,missing,missing,exp1_WT_Rep_0_2mM_lowPi_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_Rep_0_2mM_lowPi_5h,Yeast culture,SRP113638,BY4741
SRR5872945,RNA-Seq,55,80311440,PRJNA395936,SAMN07418256,"Microbe\, viral or environmental",48968481,WEIZMANN INSTITUTE OF SCIENCE,2013-06-03,public,"fastq,sra",s3,s3.us-east-1,SRX3040548,uncalculated,uncalculated,missing,missing,132,Illumina HiSeq 2500,missing,missing,exp1_WT_Rep_0_2mM_lowPi_3_5h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_Rep_0_2mM_lowPi_3_5h,Yeast culture,SRP113638,BY4741
SRR5872946,RNA-Seq,55,48613345,PRJNA395936,SAMN07418255,"Microbe\, viral or environmental",29513679,WEIZMANN INSTITUTE OF SCIENCE,2013-06-03,public,"sra,fastq",s3,s3.us-east-1,SRX3040547,uncalculated,uncalculated,missing,missing,131,Illumina HiSeq 2500,missing,missing,exp1_WT_Rep_0_2mM_lowPi_2h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_Rep_0_2mM_lowPi_2h,Yeast culture,SRP113638,BY4741
SRR5872947,RNA-Seq,55,61320215,PRJNA395936,SAMN07418264,"Microbe\, viral or environmental",36745237,WEIZMANN INSTITUTE OF SCIENCE,2013-06-03,public,"fastq,sra",s3,s3.us-east-1,SRX3040546,uncalculated,uncalculated,missing,missing,140,Illumina HiSeq 2500,missing,missing,exp1_WT_Rep_0_2mM_recovery_4h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_Rep_0_2mM_recovery_4h,Yeast culture,SRP113638,BY4741
SRR5872948,RNA-Seq,55,59197435,PRJNA395936,SAMN07418263,"Microbe\, viral or environmental",35451234,WEIZMANN INSTITUTE OF SCIENCE,2013-06-03,public,"fastq,sra",s3,s3.us-east-1,SRX3040545,uncalculated,uncalculated,missing,missing,139,Illumina HiSeq 2500,missing,missing,exp1_WT_Rep_0_2mM_recovery_3h,PAIRED,RT-PCR,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2017-10-12T00:00:00Z,exp1_WT_Rep_0_2mM_recovery_3h,Yeast culture,SRP113638,BY4741
