# File Name: H:\ccg quantstudio\2023-01-16_161000 sc try23_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313047
# Instrument Serial Number: 272313047
# Heated Cover Serial Number:
# Block Serial Number: 21114869
# Run Start Date/Time: 2023-01-16 05:13:56 PM CST
# Run End Date/Time: 2023-01-16 06:25:45 PM CST
# Run Duration: 71 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-01-17 11:22:37 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported On: 2023-01-19 09:45:47 AM CST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"1","A1","false","b4","scact1","UNKNOWN","SYBR","None","Amp","1.1825120043792416","","","13.556065505214676","0.784016931529994","13.308649203246555","0.183527770677051","true","0.050259313185625855","true","3","10","75.26611328125","","",""
"2","A2","false","b4","scact1","UNKNOWN","SYBR","None","Amp","1.219145112655379","","","13.112690979441602","0.8394633522273692","13.308649203246555","0.183527770677051","true","0.050259313185625855","true","3","10","74.59213256835938","","",""
"3","A3","false","7 0hr","scact1","UNKNOWN","SYBR","None","Amp","1.1470851347428959","","","14.375117223059444","0.8734242124742704","13.445709645898688","0.7700836404824112","true","0.050259313185625855","true","3","11","75.0087890625","","",""
"4","A4","false","7 0hr","scact1","UNKNOWN","SYBR","None","Amp","1.217821029334053","","","13.390191237880611","0.8454279678913394","13.445709645898688","0.7700836404824112","true","0.050259313185625855","true","3","10","74.67250061035156","63.799171447753906","66.04109191894531",""
"5","A5","false","06pi 0hr","scact1","UNKNOWN","SYBR","None","Amp","1.2186301624680078","","","13.590368190037989","0.857322205120174","13.648021937353484","0.3035510725353246","true","0.050259313185625855","true","3","10","74.64508819580078","64.12664031982422","66.02891540527344",""
"6","A6","false","06pi 0hr","scact1","UNKNOWN","SYBR","None","Amp","1.2098207393803286","","","14.07101340612321","0.8809060921830172","13.648021937353484","0.3035510725353246","true","0.050259313185625855","true","3","12","74.53318786621094","70.0572509765625","",""
"7","A7","false","0pi 0hr","scact1","UNKNOWN","SYBR","None","Amp","1.2137413616221815","","","13.366886585585835","0.817462309352921","13.527178278965067","0.4643031978146971","true","0.050259313185625855","true","3","11","74.75596618652344","64.9102554321289","",""
"8","A8","false","0pi 0hr","scact1","UNKNOWN","SYBR","None","Amp","1.1482315269132946","","","14.141667255770681","0.9132515579841946","13.527178278965067","0.4643031978146971","true","0.050259313185625855","true","3","11","74.53219604492188","70.05687713623047","65.58155059814453",""
"9","A9","false","7pi 45min","scact1","UNKNOWN","SYBR","None","Amp","1.2181488266667952","","","14.020563296846724","0.8995267993027177","14.15029641869802","0.4265485162861635","true","0.050259313185625855","true","3","11","74.67756652832031","64.92130279541016","61.669212341308594","77.03253173828125"
"10","A10","false","7pi 45min","scact1","UNKNOWN","SYBR","None","Amp","1.2256687203511292","","","14.674735087378405","0.8936335056895396","14.15029641869802","0.4265485162861635","true","0.050259313185625855","true","3","13","74.5654296875","72.21046447753906","64.58487701416016",""
