# File Name: H:\ccg quantstudio\2023-01-16_161000 sc try23_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313047
# Instrument Serial Number: 272313047
# Heated Cover Serial Number:
# Block Serial Number: 21114869
# Run Start Date/Time: 2023-01-16 05:13:56 PM CST
# Run End Date/Time: 2023-01-16 06:25:45 PM CST
# Run Duration: 71 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-01-17 11:22:37 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0	 Relative Quantification v1.5.0
# Exported On: 2023-01-19 09:45:47 AM CST
Well	Well Position	Omit	Sample	Pi	Minute	Replicate	Target	Task	Reporter	Quencher	Amp Status	Amp Score	Curve Quality	Result Quality Issues	Cq	Cq Confidence	Cq Mean	Cq SD	Auto Threshold	Threshold	Auto Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Tm4
1	A1	FALSE	b4	7	0	1	scact1	UNKNOWN	SYBR	None	Amp	1.182512004			13.55606551	0.784016932	13.3086492	0.183527771	TRUE	0.050259313	TRUE	3	10	75.26611328			
2	A2	FALSE	b4	7	0	2	scact1	UNKNOWN	SYBR	None	Amp	1.219145113			13.11269098	0.839463352	13.3086492	0.183527771	TRUE	0.050259313	TRUE	3	10	74.59213257			
3	A3	FALSE	7 0hr	7	2	1	scact1	UNKNOWN	SYBR	None	Amp	1.147085135			14.37511722	0.873424212	13.44570965	0.77008364	TRUE	0.050259313	TRUE	3	11	75.00878906			
4	A4	FALSE	7 0hr	7	2	2	scact1	UNKNOWN	SYBR	None	Amp	1.217821029			13.39019124	0.845427968	13.44570965	0.77008364	TRUE	0.050259313	TRUE	3	10	74.67250061	63.79917145	66.04109192	
5	A5	FALSE	06pi 0hr	0.06	2	1	scact1	UNKNOWN	SYBR	None	Amp	1.218630162			13.59036819	0.857322205	13.64802194	0.303551073	TRUE	0.050259313	TRUE	3	10	74.6450882	64.12664032	66.02891541	
6	A6	FALSE	06pi 0hr	0.06	2	2	scact1	UNKNOWN	SYBR	None	Amp	1.209820739			14.07101341	0.880906092	13.64802194	0.303551073	TRUE	0.050259313	TRUE	3	12	74.53318787	70.05725098		
7	A7	FALSE	0pi 0hr	0	2	1	scact1	UNKNOWN	SYBR	None	Amp	1.213741362			13.36688659	0.817462309	13.52717828	0.464303198	TRUE	0.050259313	TRUE	3	11	74.75596619	64.91025543		
8	A8	FALSE	0pi 0hr	0	2	2	scact1	UNKNOWN	SYBR	None	Amp	1.148231527			14.14166726	0.913251558	13.52717828	0.464303198	TRUE	0.050259313	TRUE	3	11	74.53219604	70.05687714	65.5815506	
9	A9	FALSE	7pi 45min	7	45	1	scact1	UNKNOWN	SYBR	None	Amp	1.218148827			14.0205633	0.899526799	14.15029642	0.426548516	TRUE	0.050259313	TRUE	3	11	74.67756653	64.9213028	61.66921234	77.03253174
10	A10	FALSE	7pi 45min	7	45	2	scact1	UNKNOWN	SYBR	None	Amp	1.22566872			14.67473509	0.893633506	14.15029642	0.426548516	TRUE	0.050259313	TRUE	3	13	74.56542969	72.21046448	64.58487701	
11	A11	FALSE	06 pi 45min	0.06	45	1	scact1	UNKNOWN	SYBR	None	Amp	1.172204381			24.20507754	0.924649734	19.68633473	5.551199743	TRUE	0.050259313	TRUE	3	22	74.70210266	71.13493347		
12	A12	FALSE	06 pi 45min	0.06	45	2	scact1	UNKNOWN	SYBR	None	Amp	1.242512662			13.48976366	0.777305324	19.68633473	5.551199743	TRUE	0.050259313	TRUE	3	11	75.14800262	64.44647217		
13	B1	FALSE	b4	7	0	1	scact1	UNKNOWN	SYBR	None	Amp	1.208643272			13.27554084	0.716762557	13.3086492	0.183527771	TRUE	0.050259313	TRUE	3	11	75.15378571	60.77560806		
14	B2	FALSE	b4	7	0	2	scact1	UNKNOWN	SYBR	None	Amp	1.232150157			13.29029949	0.843506601	13.3086492	0.183527771	TRUE	0.050259313	TRUE	3	10	75.26611328	65.94276428		
15	B3	FALSE	7 0hr	7	2	1	scact1	UNKNOWN	SYBR	None	Amp	1.237337364			13.52372358	0.872869839	13.44570965	0.77008364	TRUE	0.050259313	TRUE	3	10	63.91126633	74.56040955	60.88467026	
16	B4	FALSE	7 0hr	7	2	2	scact1	UNKNOWN	SYBR	None	Amp	1.239926047			12.49380654	0.729845213	13.44570965	0.77008364	TRUE	0.050259313	TRUE	3	10	75.23298645	63.68707657		
17	B5	FALSE	06pi 0hr	0.06	2	1	scact1	UNKNOWN	SYBR	None	Amp	1.231508756			13.58250298	0.884553289	13.64802194	0.303551073	TRUE	0.050259313	TRUE	3	11	74.75698853	63.67904663		
18	B6	FALSE	06pi 0hr	0.06	2	2	scact1	UNKNOWN	SYBR	None	Amp	1.212473492			13.34820318	0.905134506	13.64802194	0.303551073	TRUE	0.050259313	TRUE	3	11	74.75698853			
19	B7	FALSE	0pi 0hr	0	2	1	scact1	UNKNOWN	SYBR	None	Amp	1.228684824			13.03522622	0.664478648	13.52717828	0.464303198	TRUE	0.050259313	TRUE	3	11	75.20349121			
20	B8	FALSE	0pi 0hr	0	2	2	scact1	UNKNOWN	SYBR	None	Amp	1.236983515			13.56493305	0.938993063	13.52717828	0.464303198	TRUE	0.050259313	TRUE	3	11	74.86784363			
21	B9	FALSE	7pi 45min	7	45	1	scact1	UNKNOWN	SYBR	None	Amp	1.221716018			14.24964895	0.904072198	14.15029642	0.426548516	TRUE	0.050259313	TRUE	3	11	74.789711	66.15485382	60.88422394	
22	B10	FALSE	7pi 45min	7	45	2	scact1	UNKNOWN	SYBR	None	Amp	1.225679525			13.65623834	0.923412146	14.15029642	0.426548516	TRUE	0.050259313	TRUE	3	11	75.12613678	66.26699829	61.22064972	
23	B11	FALSE	06 pi 45min	0.06	45	1	scact1	UNKNOWN	SYBR	None	Amp	1.265128015			21.36416297	0.923132833	19.68633473	5.551199743	TRUE	0.050259313	TRUE	3	18	66.34153748	75.14800262		
24	B12	FALSE	NoRT	NA	NA	NA	scact1	NoRT	SYBR	None	Amp	1.39907619			30.30242003	0.955872744	30.30242003		TRUE	0.050259313	TRUE	3	27	74.70210266			
25	C1	FALSE	0oi 45min	0	45	1	scact1	UNKNOWN	SYBR	None	Amp	1.194500565			13.94057825	0.843279077	13.8563132	0.660070292	TRUE	0.050259313	TRUE	3	11	63.92083359	74.92912292	68.41401672	
26	C2	FALSE	0oi 45min	0	45	2	scact1	UNKNOWN	SYBR	None	Amp	1.226943076			14.49815126	0.962148927	13.8563132	0.660070292	TRUE	0.050259313	TRUE	3	12	75.37844849	60.77560806		
27	C3	FALSE	7pi 2hr	7	120	1	scact1	UNKNOWN	SYBR	None	Amp	1.235151407			13.1183968	0.927458186	13.35902724	0.352197047	TRUE	0.050259313	TRUE	3	10	75.34507751	65.5927124		
28	C4	FALSE	7pi 2hr	7	120	2	scact1	UNKNOWN	SYBR	None	Amp	1.237335498			12.99604761	0.905776278	13.35902724	0.352197047	TRUE	0.050259313	TRUE	3	9	74.896698			
29	C5	FALSE	06pi 2hr	0.06	120	1	scact1	UNKNOWN	SYBR	None	Amp	1.198276344			13.26406553	0.842456345	13.28428549	0.143505301	TRUE	0.050259313	TRUE	3	11	74.98078156			
30	C6	FALSE	06pi 2hr	0.06	120	2	scact1	UNKNOWN	SYBR	None	Amp	1.240956576			13.0982291	0.905868081	13.28428549	0.143505301	TRUE	0.050259313	TRUE	3	10	74.75698853			
