plasmid	symbol	letter	full
188	OOOOO	ABCDE	Cg(1-533)
194	XXXXX	abcde	Sc(1-312)
209	XOOOO	aBCDE	Sc(1-42) Cg(45-533)
230	XXXOX	abcDe	Sc(1-176) Cg(283-458) Sc(243-312)
211	XXOOO	abCDE	Sc(1-99) Cg(113-533)
218	OOXXO	ABcdE	Cg(1-112) Sc(100-242) Cg(459-533)
232	XOXXX	aBcde	Sc(1-42) Cg(45-112) Sc(100-312)
213	OOOXO	ABCdE	Cg(1-282) Sc(177-242) Cg(459-533)
220	XOXOO	aBcDE	Sc(1-42) Cg(45-112) Sc(100-176) Cg(283-533)
234	OOXXX	ABcde	Cg(1-112) Sc(100-312)
215	OOOOX	ABCDe	Cg(1-458) Sc(243-312)
221	OXOXX	AbCde	Cg(1-44) Sc(43-99) Cg(113-282) Sc(177-312)
235	XXOOX	abCDe	Sc(1-99) Cg(113-458) Sc(243-312)
