file	well	sample
188-555-1	A1	188-555-1
194-555-1	A2	194-555-1
194-555-2	A3	194-555-2
194-555-3	A4	194-555-3
188-373-1	A5	188-373-1
209-373-1	A6	209-373-1
209-373-2	A7	209-373-2
209-373-3	A8	209-373-3
188-555-2	A9	188-555-2
230-555-1	A10	230-555-1
230-555-2	A11	230-555-2
230-555-3	A12	230-555-3
blank1	B1	NA-blank-1
194-373-1	B2	194-373-1
194-373-2	B3	194-373-2
194-373-3	B4	194-373-3
yH156-1	B5	NA-156-1
209-555-1	B6	209-555-1
209-555-2	B7	209-555-2
209-555-3	B8	209-555-3
yH373-1	B9	NA-373-1
230-373-1	B10	230-373-1
230-373-2	B11	230-373-2
230-373-3	B12	230-373-3
188-373-2	C1	188-373-2
211-555-1	C2	211-555-1
211-555-2	C3	211-555-2
211-555-3	C4	211-555-3
188-555-3	C5	188-555-3
218-373-1	C6	218-373-1
218-373-2	C7	218-373-2
218-373-3	C8	218-373-3
188-373-3	C9	188-373-3
232-555-1	C10	232-555-1
232-555-2	C11	232-555-2
232-555-3	C12	232-555-3
yH555-1	D1	NA-555-1
211-373-1	D2	211-373-1
211-373-2	D3	211-373-2
211-373-3	D4	211-373-3
blank2	D5	NA-blank-2
218-555-1	D6	218-555-1
218-555-2	D7	218-555-2
218-555-3	D8	218-555-3
yH156-2	D9	NA-156-2
232-373-1	D10	232-373-1
232-373-2	D11	232-373-2
232-373-3	D12	232-373-3
188-555-4	E1	188-555-4
213-555-1	E2	213-555-1
213-555-2	E3	213-555-2
213-555-3	E4	213-555-3
188-373-4	E5	188-373-4
220-373-1	E6	220-373-1
220-373-2	E7	220-373-2
220-373-3	E8	220-373-3
188-555-5	E9	188-555-5
234-555-1	E10	234-555-1
234-555-2	E11	234-555-2
234-555-3	E12	234-555-3
yH373-2	F1	NA-373-2
213-373-1	F2	213-373-1
213-373-2	F3	213-373-2
213-373-3	F4	213-373-3
yH555-2	F5	NA-555-2
220-555-1	F6	220-555-1
220-555-2	F7	220-555-2
220-555-3	F8	220-555-3
blank3	F9	NA-blank-3
234-373-1	F10	234-373-1
234-373-2	F11	234-373-2
234-373-3	F12	234-373-3
188-373-5	G1	188-373-5
215-555-1	G2	215-555-1
215-555-2	G3	215-555-2
215-555-3	G4	215-555-3
188-555-6	G5	188-555-6
221-373-1	G6	221-373-1
221-373-2	G7	221-373-2
221-373-3	G8	221-373-3
188-373-6	G9	188-373-6
235-555-1	G10	235-555-1
235-555-2	G11	235-555-2
235-555-3	G12	235-555-3
yH156-3	H1	NA-156-3
215-373-1	H2	215-373-1
215-373-2	H3	215-373-2
215-373-3	H4	215-373-3
yH373-3	H5	NA-373-3
221-555-1	H6	221-555-1
221-555-2	H7	221-555-2
221-555-3	H8	221-555-3
yH555-3	H9	NA-555-3
235-373-1	H10	235-373-1
235-373-2	H11	235-373-2
235-373-3	H12	235-373-3
