well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	188-555-1	188-555-1	29210	27242	20383	429754	1589	20356	2031.8	26389.8
A2	194-555-1	194-555-1	18284	17692	15230	389811	1728	24353	2397	34335.5
A3	194-555-2	194-555-2	17020	16542	13941	356912	1630	22383	2530.5	35543.8
A4	194-555-3	194-555-3	18322	17648	14954	382682.5	1735	23834	2458.5	34712.5
A5	188-373-1	188-373-1	20934	20004	15616	316842.5	1291	14880	2319.8	26897.9
A6	209-373-1	209-373-1	22353	21193	17993	468788	2697	14505	3156.7	17393.1
A7	209-373-2	209-373-2	23181	21727	18233	482579	2960	18152	3300.1	20356.8
A8	209-373-3	209-373-3	22091	20821	17690	484103	3384	20952.5	3962	24490.2
A9	188-555-2	188-555-2	20783	19607	15109	368905	1585	23400	2392.9	35008.9
A10	230-555-1	230-555-1	19733	18740	17213	464603	1703	36373	1936.3	41871.9
A11	230-555-2	230-555-2	20510	19120	17435	466298	1699	36894	1941.4	42639.4
A12	230-555-3	230-555-3	21039	19519	17921	482288	1811	39534	1964.2	43830.6
B1	NA-blank-1	blank1	6984	480	406	161319	870	423	3085.5	1475
B2	194-373-1	194-373-1	19513	18729	16262	372760	1713.5	1206.5	2437.5	1682.2
B3	194-373-2	194-373-2	20336	19307	16826	386922.5	1911	1521	2571.7	1993.5
B4	194-373-3	194-373-3	18667	17919	15554	361657.5	1608	1106	2354.1	1574.7
B5	NA-156-1	yH156-1	16525	16341	14239	366749	593	76	891.8	103.4
B6	209-555-1	209-555-1	18525	17893	14839	313182	1491	9383	2683.3	17006.3
B7	209-555-2	209-555-2	18157	17493	14900	346121	1659	10153	2679	16159.9
B8	209-555-3	209-555-3	19318	18455	15339	336790	1623	10489	2683.1	17311.1
B9	NA-373-1	yH373-1	16918	16553	14253	339587	566	714	917.8	1163.5
B10	230-373-1	230-373-1	21822	20531	18394	347853.5	3789	9187.5	6099.6	14876.5
B11	230-373-2	230-373-2	21920	20510	18162	389711	4520	10051	6246.4	13778.1
B12	230-373-3	230-373-3	22625	20958	18531	418239	3123	6648	4139.8	9520.3
C1	188-373-2	188-373-2	20046	19215	15783	351219	1424	14611	2263.1	22905.3
C2	211-555-1	211-555-1	24258	21947	19415	548032	2788	49889	2584.5	47462.9
C3	211-555-2	211-555-2	29078	24376	21018	581994.5	3081	59031.5	2661.3	52214.5
C4	211-555-3	211-555-3	32306	25693	22248	602559	3198.5	66836	2685.7	57052.4
C5	188-555-3	188-555-3	18837	17865	14811	361803	1456	18818	2234	28723.2
C6	218-373-1	218-373-1	19412	18339	9790	419687.5	6045	11874	8753.7	18746.8
C7	218-373-2	218-373-2	21051	20055	17988	432814.5	5314	870	6428.8	1037.8
