well,sample,file
A1,188-555-1,188-555-1
A2,223-555-1,223-555-1
A3,223-555-2,223-555-2
A4,223-555-3,223-555-3
A5,194-373-1,194-373-1
A6,250-373-1,250-373-1
A7,250-373-2,250-373-2
A8,250-373-3,250-373-3
A9,188-373-1,188-373-1
A10,254-555-1,254-555-1
A11,254-555-2,254-555-2
A12,254-555-3,254-555-3
B1,NA-blank-1,NA-blank-1
B2,223-373-1,223-373-1
B3,223-373-2,223-373-2
B4,223-373-3,223-373-3
B5,NA-156-1,NA-156-1
B6,250-555-1,250-555-1
B7,250-555-2,250-555-2
B8,250-555-3,250-555-3
B9,NA-373-1,NA-373-1
B10,254-373-1,254-373-1
B11,254-373-2,254-373-2
B12,254-373-3,254-373-3
C1,188-373-2,188-373-2
C2,224-555-1,224-555-1
C3,224-555-2,224-555-2
C4,224-555-3,224-555-3
C5,194-555-1,194-555-1
C6,251-373-1,251-373-1
C7,251-373-2,251-373-2
C8,251-373-3,251-373-3
C9,194-555-2,194-555-2
C10,255-555-1,255-555-1
C11,255-555-2,255-555-2
C12,255-555-3,255-555-3
D1,NA-555-1,NA-555-1
D2,224-373-1,224-373-1
D3,224-373-2,224-373-2
D4,224-373-3,224-373-3
D5,NA-blank-2,NA-blank-2
D6,251-555-1,251-555-1
D7,251-555-2,251-555-2
D8,251-555-3,251-555-3
D9,NA-156-2,NA-156-2
D10,255-373-1,255-373-1
D11,255-373-2,255-373-2
D12,255-373-3,255-373-3
E1,194-373-2,194-373-2
E2,239-555-1,239-555-1
E3,239-555-2,239-555-2
E4,239-555-3,239-555-3
E5,188-373-3,188-373-3
E6,252-373-1,252-373-1
E7,252-373-2,252-373-2
E8,252-373-3,252-373-3
E9,188-555-2,188-555-2
E10,257-555-1,257-555-1
E11,257-555-2,257-555-2
E12,257-555-3,257-555-3
F1,NA-373-2,NA-373-2
F2,239-373-1,239-373-1
F3,239-373-2,239-373-2
F4,239-373-3,239-373-3
F5,NA-555-2,NA-555-2
F6,252-555-1,252-555-1
F7,252-555-2,252-555-2
F8,252-555-3,252-555-3
F9,NA-blank-3,NA-blank-3
F10,257-373-1,257-373-1
F11,257-373-2,257-373-2
F12,257-373-3,257-373-3
G1,194-555-3,194-555-3
G2,240-555-1,240-555-1
G3,240-555-2,240-555-2
G4,240-555-3,240-555-3
G5,188-555-3,188-555-3
G6,253-373-1,253-373-1
G7,253-373-2,253-373-2
G8,253-373-3,253-373-3
G9,194-373-3,194-373-3
G10,258-555-1,258-555-1
G11,258-555-2,258-555-2
G12,258-555-3,258-555-3
H1,NA-156-3,NA-156-3
H2,240-373-1,240-373-1
H3,240-373-2,240-373-2
H4,240-373-3,240-373-3
H5,NA-373-3,NA-373-3
H6,253-555-1,253-555-1
H7,253-555-2,253-555-2
H8,253-555-3,253-555-3
H9,NA-555-3,NA-555-3
H10,258-373-1,258-373-1
H11,258-373-2,258-373-2
H12,258-373-3,258-373-3
