plasmid	symbol	letter	full
188	CCCCC	ABCDE	Cg(1-533)
194	SSSSS	abcde	Sc(1-312)
209	SCCCC	aBCDE	Sc(1-42) Cg(45-533)
210	CSCCC	AbCDE	Cg(1-44) Sc(43-99) Cg(113-533)
211	SSCCC	abCDE	Sc(1-99) Cg(113-533)
212	CCSCC	ABcDE	Cg(1-112) Sc(100-176) Cg(283-533)
213	CCCSC	ABCdE	Cg(1-282) Sc(177-242) Cg(459-533)
215	CCCCS	ABCDe	Cg(1-458) Sc(243-312)
216	SCCCS	aBCDe	Sc(1-42) Cg(45-458) Sc(243-312)
217	CSSCC	AbcDE	Cg(1-44) Sc(43-176) Cg(283-533)
218	CCSSC	ABcdE	Cg(1-112) Sc(100-242) Cg(459-533)
219	CCCSS	ABCde	Cg(1-282) Sc(177-312)
220	SCSCC	aBcDE	Sc(1-42) Cg(45-112) Sc(100-176) Cg(283-533)
221	CSCSS	AbCde	Cg(1-44) Sc(43-99) Cg(113-282) Sc(177-312)
222	CSCSC	AbCdE	Cg(1-44) Sc(43-99) Cg(113-282) Sc(177-242) Cg(459-533)
223	SCSCS	aBcDe	Sc(1-42) Cg(45-112) Sc(100-176) Cg(283-458) Sc(243-312)
224	SCCSS	aBCde	Sc(1-42) Cg(45-282) Sc(177-312)
227	SSSCC	abcDE	Sc(1-176) Cg(283-533)
229	SSCSS	abCde	Sc(1-99) Cg(113-282) Sc(177-312)
230	SSSCS	abcDe	Sc(1-176) Cg(283-458) Sc(243-312)
231	CSSSS	Abcde	Cg(1-44) Sc(43-312)
232	SCSSS	aBcde	Sc(1-42) Cg(45-112) Sc(100-312)
233	SSSSC	abcdE	Sc(1-242) Cg(459-533)
234	CCSSS	ABcde	Cg(1-112) Sc(100-312)
235	SSCCS	abCDe	Sc(1-99) Cg(113-458) Sc(243-312)
239	SSCSC	abCdE	Sc(1-99) Cg(113-282) Sc(177-242) Cg(459-533)
240	CCSCS	ABcDe	Cg(1-112) Sc(100-176) Cg(283-458) Sc(243-312)
241	CSSSC	AbcdE	Cg(1-44) Sc(43-243) Cg(459-533)
250	CSSCS	AbcDe	Cg(1-44) Sc(43-176) Cg(283-458) Sc(243-312)
251	SCCSC	aBCdE	Sc(1-42) Cg(45-282) Sc(177-242) Cg(459-533)
252	SCSSC	aBcdE	Sc(1-42) Cg(45-112) Sc(100-242) Cg(459-533)
253	CSCCS	AbCDe	Cg(1-44) Sc(43-99) Cg(113-458) Sc(243-312)
254	CSScsC	AbcDdE	Cg(1-44) Sc(43-176) Cg(283-327) Sc(205-242) Cg(459-533)
255	CSSscC	AbcdDE	Cg(1-44) Sc(43-204) Cg(328-533)
257	CCCscC	ABCdDE	Cg (1-282) Sc(177-204) Cg(328-533)
258	CCCcsC	ABCDdE	Cg(1-327) Sc(205-242) Cg(459-533)
265	SSSscC	abcdDE	Sc(1-204) Cg(328-533)
266	SSscCC	abcCDE	Sc(1-153) Cg(250-533)
