well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	188-555-1	188-555-1	24801	24452	22747	510422	1832	23412	1921.5	25029.2
A2	194-555-1	194-555-1	37584	34027	30887	635543	2581	35191	1976.9	26994.5
A3	194-555-2	194-555-2	21833	21575	20169	498840	1993	25782	2135.9	28278.7
A4	194-555-3	194-555-3	22099	21837	20319	510258	2135	29546	2196.9	30800.4
A5	188-555-2	188-555-2	25297	24808	23020	489967	1861	23647	2092.3	27359.3
A6	211-555-1	211-555-1	25730	22480	20823	603129	3744	71302	3096.5	55928.1
A7	211-555-2	211-555-2	21597	19578	16923	672557	3851	78912	2624.2	55423
A8	211-555-3	211-555-3	13569	11076	9550	711480.5	4608	99257.5	2810.3	63013.3
A9	188-555-3	188-555-3	23181	22658	20740	478272.5	1832	25576	2135.1	29835.9
B1	NA-blank-1	NA-blank-1	211	80	79	254938	921	599	2019.5	2067.2
B2	194-373-1	194-373-1	24744	23175	22075	466528	2550	1951	2831.2	2267.2
B3	194-373-2	194-373-2	21560	21010	20126	448619	2389	1907	2844.1	2299.3
B4	194-373-3	194-373-3	23740	22463	21353	459999	2481	2066	2861.5	2467.9
B5	NA-156-1	NA-156-1	21960	21343	19635	462514	661	82	791.3	89
B6	233-555-1	233-555-1	38844	33454	25197	620612	3125	43636	2433.2	34530
B7	233-555-2	233-555-2	34711	33055	25870	614643	3093	44750.5	2450.1	35993.1
B8	233-555-3	233-555-3	49424	36194	25657	662732	3625	58834	2577.1	42116.8
B9	NA-373-1	NA-373-1	23559	22763	21448	450867	745	964	916.4	1203.2
C1	188-555-4	188-555-4	23917	23654	22153	450281	1553	16944	1995.2	22361
C2	218-555-1	218-555-1	40975	33544	16030	690382.5	3668.5	93032.5	2629.4	65902.7
C3	218-555-2	218-555-2	21276	17354	8683	746884	4160	111171.1	2604.3	68244.5
C4	218-555-3	218-555-3	17836	14133	7590	726649.5	4070.5	108608.5	2738.1	71575.4
C5	188-555-5	188-555-5	22512	22005	20324	461854	1645	19066	1955.2	23906
C6	251-555-1	251-555-1	26444	23353	20444	512416	3427	48331.5	4076.2	59037.7
C7	251-555-2	251-555-2	20288	19443	16751	455774	3273	49000	4285.9	64154.7
C8	251-555-3	251-555-3	24625	21646	19209	476605	3077	40539	4001	54955.3
C9	188-555-6	188-555-6	21819	21046	19304	455841.5	1642	20367	2024.8	25632.4
D1	NA-555-1	NA-555-1	19126	18918	18042	409137.5	671	441	943.6	616.1
D2	218-373-1	218-373-1	23105	22441	20904	453105.5	4438	11918.5	5620.5	15719.5
D3	218-373-2	218-373-2	20840	20388	19178	417485	3945	10688	5751.1	16224.8
D4	218-373-3	218-373-3	22857	22516	21218	457678.5	4230	11616	5409.2	15441.3
D5	NA-blank-2	NA-blank-2	225	53	52	238906.5	2021	1126	4461.7	3617
D6	231-555-1	231-555-1	23261	20159	13376	505565	2411	49274	2643.2	53801.1
D7	231-555-2	231-555-2	22400	21242	11511	553115	2762	63683	2615.7	61765.4
D8	231-555-3	231-555-3	20694	18640	4897	521447	2166	44842	2468.1	53219.6
D9	NA-156-2	NA-156-2	20510	19763	18312	446508.5	630	81	790.4	91.6
E1	188-555-7	188-555-7	21201	20882	19335	457897	1706	19558	2088.9	24313
E2	230-555-1	230-555-1	20321	20069	17985	505664	1708	38849	1757.6	40784.7
E3	230-555-2	230-555-2	19790	19539	17717	500832	1500	28276	1569.6	30464.2
E4	230-555-3	230-555-3	24369	24049	21983	541446	1669	33626	1582.3	33140.5
E5	188-555-8	188-555-8	21620	21285	19862	461162	1669	19887	2016.8	24794
E6	252-555-1	252-555-1	21974	21065	18412	481158	3187.5	37266	4167.9	49147
E7	252-555-2	252-555-2	22002	20987	18442	466023.5	3135	36285	4307.6	50085.6
E8	252-555-3	252-555-3	24767	21657	18948	497021	3181	35845	4092.3	48401.5
E9	188-555-9	188-555-9	23273	22526	20910	450460	1552	18233	1953	23694.2
F1	NA-373-2	NA-373-2	21247	20558	19506	478902	825	847	925.5	944.5
F2	230-373-1	230-373-1	20320	20091	19166	406744.5	3534	9296	4983.5	13025.3
F3	230-373-2	230-373-2	20023	19781	18929	434416	3389	8797	4370.6	11405.4
F4	230-373-3	230-373-3	21932	21540	20550	415709	2090	4704	2904.3	6684.5
F5	NA-555-2	NA-555-2	22498	21997	21047	421436	697	487	951.4	656.6
