well ,file,sample
A1,188-555-1,188-555-1
A2,194-555-1,194-555-1
A3,194-555-2,194-555-2
A4,194-555-3,194-555-3
A5,188-555-2,188-555-2
B1,NA-blank-1,NA-blank-1
B2,194-373-1,194-373-1
B3,194-373-2,194-373-2
B4,194-373-3,194-373-3
B5,NA-373-1,NA-373-1
C1,188-555-3,188-555-3
C2,233-555-1,233-555-1
C3,233-555-2,233-555-2
C4,233-555-3,233-555-3
C5,NA-156-1,NA-156-1
D1,NA-373-2,NA-373-2
D2,233-373-1,233-373-1
D3,233-373-2,233-373-2
D4,233-373-3,233-373-3
D5,NA-555-1,NA-555-1
E1,NA-555-2,NA-555-2
E2,188-373-1,188-373-1
E3,188-373-2,188-373-2
E4,188-373-3,188-373-3
E5,NA-blank-2,NA-blank-2
F1,NA-156-2,NA-156-2
F2,211-555-1,211-555-1
F3,211-555-2,211-555-2
F4,211-555-3,211-555-3
F5,NA-555-3,NA-555-3
G1,188-555-4,188-555-4
G2,218-555-1,218-555-1
G3,218-555-2,218-555-2
G4,218-555-3,218-555-3
G5,188-555-5,188-555-5
H1,NA-373-3,NA-373-3
H2,241-555-1,241-555-1
H3,241-555-2,241-555-2
H4,241-555-3,241-555-3
H5,NA-156-3,NA-156-3
