date	sample	flag
05/12/22	188-555	pass
05/12/22	188-373	pass
05/12/22	194-555	pass
05/12/22	194-373	pass
05/12/22	209-555o	mutation
05/12/22	209-373o	mutation
05/12/22	210-555o	mutation
05/12/22	210-373o	mutation
05/12/22	209-555	pass
05/12/22	209-373	pass
05/12/22	210-373	pass
05/12/22	210-555	pass
05/12/22	217-373	pass
05/12/22	217-555	low event
05/12/22	227-373	pass
05/12/22	227-555	pass
05/12/22	250-373	pass
05/12/22	250-555	pass
05/12/22	255-555	pass
05/12/22	255-373	pass
05/12/22	265-555	pass
05/12/22	265-373	pass
05/12/22	266-555	pass
05/12/22	266-373	pass
05/17/22	188-555	pass
05/17/22	188-373	pass
05/17/22	194-555	pass
05/17/22	194-373	pass
05/17/22	211-555	multi pop
05/17/22	211-373	pass
05/17/22	215-555	pass
05/17/22	215-373	pass
05/17/22	220-555	pass
05/17/22	220-373	pass
05/17/22	221-373	pass
05/17/22	221-555	multi pop
05/17/22	222-373	pass
05/17/22	222-555	multi pop
05/17/22	223-373	pass
05/17/22	223-555	multi pop
05/17/22	224-373	pass
05/17/22	224-555	pass
05/17/22	229-555	pass
05/17/22	229-373	pass
05/17/22	257-555	pass
05/17/22	257-373	pass
05/17/22	258-555	pass
05/17/22	258-373	pass
05/17/22	217-373	pass
05/19/22	188-555	pass
05/19/22	194-555	pass
05/19/22	194-373	pass
05/19/22	231-555	multi pop
05/19/22	231-373	pass
05/19/22	240-555	pass
05/19/22	240-373	pass
05/19/22	241-555	low event
05/19/22	241-373	pass
05/19/22	251-373	pass
05/19/22	251-555	multi pop
05/19/22	252-373	pass
05/19/22	252-555	multi pop
05/19/22	254-373	pass
05/19/22	254-555	multi pop
05/19/22	188-373	pass
05/31/22	188-555	pass
05/31/22	194-555	pass
05/31/22	194-373	pass
05/31/22	218-555	multi pop
05/31/22	218-373	pass
05/31/22	230-555	pass
05/31/22	230-373	pass
05/31/22	253-555	pass
05/31/22	253-373	pass
05/31/22	211-555	pass
05/31/22	233-555	multi pop
05/31/22	251-555	multi pop
05/31/22	231-555	multi pop
05/31/22	252-555	pass
05/31/22	241-555	multi pop
05/31/22	188-373	pass
06/02/22	188-555	pass
06/02/22	194-555	pass
06/02/22	194-373	pass
06/02/22	233-555	pass
06/02/22	233-373	pass
06/02/22	188-373	pass
06/02/22	211-555	multi pop
06/02/22	218-555	multi pop
06/02/22	241-555	pass
