well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	188-555-1	188-555-1	25775	25313	23711	467111	1743	22023	1980	25739.3
A2	194-555-1	194-555-1	20286	19996	18764	452976.5	1571	22633	1951.4	28415.4
A3	194-555-2	194-555-2	21943	21718	20245	493773	1841	27915	2018.8	31162.9
A4	194-555-3	194-555-3	21326	21148	19816	498051.5	2007	30149	2165	32806.8
A5	188-555-2	188-555-2	23523	23232	21659	506336	1927	27570	2030.4	29308.4
A6	279-373-1	279-373-1	18896	18439	17280	382099.5	3055.5	4467	4905.3	7282.4
A7	279-373-2	279-373-2	23256	22904	21449	486641	4478	9119	5090.7	10237
A8	279-373-3	279-373-3	23487	23022	21850	397880.5	3495	5715.5	5380.8	8821.7
A9	188-555-3	188-555-3	23268	22884	21212	496736	1826	26964.5	1955.6	29601.7
B1	NA-blank-1	NA-blank-1	210	76	69	330166	851	9790	1651.7	19822.2
B2	194-373-1	194-373-1	24049	23610	22501	511510	3146	3144	3113.4	3221.2
B3	194-373-2	194-373-2	21980	21648	20665	464815	1806	1420	1996.6	1615.4
B4	194-373-3	194-373-3	20620	20231	19278	461679.5	2178	1456.5	2405.3	1606.8
B5	NA-156-1	NA-156-1	24120	23610	22262	537786.5	1172	87	1123.9	78.8
B6	279-555-1	279-555-1	20751	20645	19738	433362.5	1767	6093.5	2302.7	7864.7
B7	279-555-2	279-555-2	19446	19375	18492	413875	1611.5	5376	2249.4	7466.5
B8	279-555-3	279-555-3	16212	16175	15465	388779	1885	7625	2824.1	11370.3
B9	NA-373-1	NA-373-1	20066	19716	18833	442856	1047	1553	1330.8	1985.7
C1	188-555-4	188-555-4	16896	16835	15809	392431	1344	14605	2034.9	22237.1
C2	276-555-1	276-555-1	16180	16146	15196	381647	1065	11345	1659.7	17759.1
C3	276-555-2	276-555-2	16033	15983	14887	378263	1069	12062	1683.6	19016.6
C4	276-555-3	276-555-3	16005	15964	14925	400621	1120	13002	1630	18882.4
C5	188-555-5	188-555-5	17077	17022	15764	403049.5	1546.5	19712	2252.1	29107.6
C6	188-373-1	188-373-1	18803	18682	17610	416735	1681	18942	2317.5	26265.3
C7	188-373-2	188-373-2	16981	16882	15807	395614	1603	18523	2382.5	27829.2
C8	188-373-3	188-373-3	18291	18139	17031	409030	1636	17894	2309.4	25845.7
C9	188-555-6	188-555-6	16886	16775	15412	406624	1568.5	21122	2217.8	30640.2
D1	NA-555-1	NA-555-1	16537	16464	15838	413356	932	669	1290.3	942.1
D2	276-373-1	276-373-1	19297	18991	18010	396100.5	1537	6698	2186.5	9613.8
D3	276-373-2	276-373-2	17329	16991	15941	344133	1485	9499	2612	17126.3
D4	276-373-3	276-373-3	17454	16952	15873	321363	1268	7331	2451	14608.3
D5	NA-blank-2	NA-blank-2	81	44	40	277609	1027	5067	2392	9463.9
D9	NA-156-2	NA-156-2	18150	17947	16876	449480	972	80	1196.7	89.6
E1	188-555-7	188-555-7	16340	16262	15443	400868	1479	15674	2152.5	23148.3
E2	277-555-1	277-555-1	17855	17707	16530	450658	1534	26772.5	1896.1	33345
E3	277-555-2	277-555-2	18988	18800	17078	482381.5	1865	38091.5	2060.9	42056.6
E4	277-555-3	277-555-3	17710	17538	16046	463165	1733	33577.5	2034.3	39384.9
E5	188-555-8	188-555-8	16565	16465	15255	411657	1625	20091	2264	28532.9
E9	188-555-9	188-555-9	17912	17773	16445	433675	1776	24496	2282.2	31965.7
F1	NA-373-2	NA-373-2	18861	18640	17784	460843	1075	1119	1276.2	1355.8
F2	277-373-1	277-373-1	18304	18176	17220	412231.5	1621	16607	2246.9	23283.1
F3	277-373-2	277-373-2	17806	17672	16632	400953	1730	19659.5	2477.2	28195.8
F4	277-373-3	277-373-3	26568	24996	23369	563103	2562	27342	2377.2	25349.3
F5	NA-555-2	NA-555-2	18316	18185	17453	443387	1047	992	1302.5	1239.5
F9	NA-blank-3	NA-blank-3	107	41	38	252990.5	525.5	201.5	1186.1	658.3
G1	188-555-10	188-555-10	16780	16712	15692	400351.5	1499	15687	2189.6	23146.6
G2	278-555-1	278-555-1	16466	16417	15759	386589	1679	2023	2492.9	2947.4
G3	278-555-2	278-555-2	15197	15158	14526	365073.5	1618	2064	2580	3247.7
G4	278-555-3	278-555-3	15103	15085	14504	376697	1574	1701.5	2420.8	2526.3
G5	188-555-11	188-555-11	18531	18400	17092	439961	1781.5	22507.5	2247.3	28751.8
G9	188-555-12	188-555-12	18297	18161	16951	435759	1741	22494	2241.9	30038.8
H1	NA-156-3	NA-156-3	17616	17447	16306	442241.5	887	81	1118.4	95.3
H2	278-373-1	278-373-1	17916	17769	16909	436245	2122	1231	2589.6	1513.5
H3	278-373-2	278-373-2	17833	17626	16702	424830.5	2363.5	1564	2966.6	2031.9
H4	278-373-3	278-373-3	18082	17840	16938	447654	2161	1336	2506.4	1600.8
H5	NA-373-3	NA-373-3	19442	19163	18241	450809	1021	1273	1250.3	1578.3
H9	NA-555-3	NA-555-3	17552	17354	16610	409062.5	922.5	912	1273.7	1273.8
