well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	188-555-1	188-555-1	18098	18015	16981	403961	1714	20374	2501.7	30149.4
A2	194-555-1	194-555-1	15733	15626	14577	400528	1917	24844	2839.1	37636.6
A3	194-555-2	194-555-2	16183	16100	15049	417007	2015	27042	2795.8	38083.4
A4	194-555-3	194-555-3	15935	15848	14896	413743	1888	25418.5	2656.8	35886.6
A5	188-555-2	188-555-2	18763	18647	17413	426061	1875	23609	2540.2	32111.8
A6	279-373-1	279-373-1	19574	18993	18025	380127	3517	6251	5763	10264.5
A7	279-373-2	279-373-2	21790	21087	19998	415888	3855	7584.5	5856.3	11438
A8	279-373-3	279-373-3	21151	20277	19292	384064	3729	7527	6303.3	12622.8
A9	188-555-3	188-555-3	18702	18422	13393	421890	1914	25325	2599.5	34422.8
A10	241-555-1	241-555-1	23210	22564	16161	585791	3172	42696	2623.7	36022.3
A11	241-555-2	241-555-2	19131	17919	16222	593709	3756	83596.5	3261.9	73009.8
A12	241-555-3	241-555-3	28511	25392	23715	649169	4124	65055	3055	48630.8
B1	NA-blank-1	NA-blank-1	266	75	72	225260.5	586	239.5	1957.1	816.9
B2	194-373-1	194-373-1	16727	16423	15718	392740	2696.5	2232	3698.7	3114.3
B3	194-373-2	194-373-2	17964	17594	16749	422757	2664	2522	3380.2	3108
B4	194-373-3	194-373-3	16242	15891	15137	357157	2329	2093	3625.8	3279.7
B5	NA-156-1	NA-156-1	18183	17924	16990	463442.5	1117	81	1357.1	88.6
B6	279-555-1	279-555-1	16125	16070	15293	383803	1776	6132	2742.2	9300.7
B7	279-555-2	279-555-2	14900	14821	13963	350536	1666	6457	2868.4	11109
B8	279-555-3	279-555-3	16533	16415	15487	424023	2369	10288	3050.5	12982.8
B9	NA-373-1	NA-373-1	16380	16174	15708	410592.5	1437.5	2510	1749.8	2798.6
B10	241-373-1	241-373-1	18368	17944	16827	336140	4034	10513	7768.8	20364.3
B11	241-373-2	241-373-2	19139	18676	17550	375074.5	5005.5	13320	8242.2	22133.1
B12	241-373-3	241-373-3	19350	18964	17824	370253.5	4742.5	12827.5	7901.8	21551.3
C1	188-555-4	188-555-4	16069	15993	14931	393508	1717	19852	2554.5	29921
C2	276-555-1	276-555-1	14752	14700	13615	367816	1166	13689	1917.5	22437.4
C3	276-555-2	276-555-2	15856	15773	14659	384954	1269	13928	1948.2	21686.6
C4	276-555-3	276-555-3	15084	15020	13873	384451	1225	13311	1873.9	20532.4
C5	188-555-5	188-555-5	16566	16463	15330	409061	1761.5	21032	2483.5	29820.9
C6	233-373-1	233-373-1	23764	23080	21799	551565	9241	1653	8293	1588.9
C7	233-373-2	233-373-2	19273	18849	17687	471887	7542	1277	8115.9	1497.9
C8	233-373-3	233-373-3	17543	16872	16144	337117	9358	9757.5	17748.8	18400.4
C9	188-555-6	188-555-6	15885	15704	11700	362141.5	1540	19591	2576.6	33127.3
C10	188-373-1	188-373-1	17260	17098	16029	376361	1691	18863	2663	30343
C11	188-373-2	188-373-2	18714	18515	17404	404080	1846	21320.5	2665.8	30875.7
C12	188-373-3	188-373-3	18199	18015	16882	398820	1796	21028	2678.7	31284.4
D1	NA-555-1	NA-555-1	15838	15790	15106	421674.5	1019	828	1376	1128.7
D2	276-373-1	276-373-1	19194	18871	17719	396660	1871	8512	2726.6	12773.5
D3	276-373-2	276-373-2	17521	17195	16010	378451.5	1750	11238	2751.4	17601.3
D4	276-373-3	276-373-3	16686	16336	15149	331170	1503	8715	2751.3	16349
D5	NA-blank-2	NA-blank-2	212	52	51	194760	547	191	2138.6	934.2
D6	233-555-1	233-555-1	25430	23815	21998	585476	3296.5	47915.5	2795.9	40770.4
D7	233-555-2	233-555-2	23148	22117	20138	560592	3212.5	47768.5	2850.4	43017.4
D8	233-555-3	233-555-3	15790	14596	13556	592050.5	3483	52656.5	2917.5	44270.5
D9	NA-156-2	NA-156-2	16716	16218	13153	437240	999	79	1289.9	93.2
E1	188-555-7	188-555-7	17361	17264	16163	419881	1819	21217	2443.7	28575.6
E2	277-555-1	277-555-1	15952	15792	14255	431518	1785	32156	2289.6	40994.8
E3	277-555-2	277-555-2	16963	16730	15291	446559	1800	30988	2225.6	38312.3
E4	277-555-3	277-555-3	15838	15679	14228	420529.5	1666	28696.5	2245.7	39127.3
E5	188-555-8	188-555-8	16034	15908	14821	402266	1732	19705	2492.9	28818.3
E6	211-373-1	211-373-1	19129	18874	17802	416885.5	3769.5	18903	5287.9	26819.2
E7	211-373-2	211-373-2	16535	16345	15247	379724	3486	16919	5550.2	27057.3
E8	211-373-3	211-373-3	15574	15438	14344	363814.5	3302	15302	5598.4	26346.7
E9	188-555-9	188-555-9	16089	15973	14744	386810.5	1828.5	19109	2577.2	29936.8
F1	NA-373-2	NA-373-2	18129	17838	16988	464616.5	1145	1086	1362.9	1293.5
F2	277-373-1	277-373-1	16857	16725	15707	375493	1706	16202	2672.7	25585.4
F3	277-373-2	277-373-2	16816	16623	15678	373018.5	1665	16249	2646.5	26174.2
F4	277-373-3	277-373-3	17165	16812	15627	397879	1814	17408	2632.6	25527.9
F5	NA-555-2	NA-555-2	17621	17399	16736	456374	1134	929	1367.9	1112.6
F6	211-555-1	211-555-1	19219	17525	16031	650029	3655	75616	2652.5	54602.9
F7	211-555-2	211-555-2	16228	14277	12984	661641.5	3788	80836	2711.7	57545.5
F8	211-555-3	211-555-3	15421	13153	11642	704872.5	4069.5	88768	2570.2	55809.5
