date	well	plasmid	host	FSC.H	BL1.H	YL2.H	nGFP	nRFP
03/15/22	A1	188	PHO2	464804	884	23093.7	1160.5	30521.3
03/15/22	A2	194	PHO2	368150	812	23133.7	1726.1999999999998	42140.2
03/15/22	A3	194	PHO2	364906	827	21403.7	1766	39010.299999999996
03/15/22	A4	194	PHO2	354050	710	19346.7	1651	35698.299999999996
03/15/22	A5	188	pho2∆	382723.5	876	20643.2	1745.6999999999998	34390
03/15/22	A6	216	pho2∆	392722	1257	4869.7	2239.2	8378.800000000001
03/15/22	A7	216	pho2∆	390856	1324.5	4806.7	2285.5	8320.1
03/15/22	A8	216	pho2∆	403670	2262	8164.7	3492.2999999999997	12604
03/15/22	A9	188	PHO2	459421	1126	21486.2	1542.9	31823.2
03/15/22	A10	231	PHO2	593275.5	1572	34809.7	860.4	30844.7
03/15/22	A11	231	PHO2	506964.5	2141	54206.2	2188.2	59074.399999999994
03/15/22	A12	231	PHO2	493502	1428	28358.2	1652.6999999999998	37444
03/15/22	B2	194	pho2∆	463192	1282	1909.7	1508	2395.1
03/15/22	B3	194	pho2∆	430829	1393.5	2086.7	1873.5	2743
03/15/22	B4	194	pho2∆	440837	1531	2181.7	1948.5	2717.6
03/15/22	B6	216	PHO2	401279	949	3226.2	1521.6999999999998	4776.0999999999995
03/15/22	B7	216	PHO2	365924	712	2829.7	1465.4	4718.7
03/15/22	B8	216	PHO2	385088	657	2593.7	1250.1999999999998	4111.8
03/15/22	B9	NA	pho2∆	386363	-110	1754.7	57.700000000000045	2803.1
03/15/22	B10	231	pho2∆	420857.5	3502	8728.2	5358.5	13292.2
03/15/22	B11	231	pho2∆	499157	5473	15917.7	6191	18464.5
03/15/22	B12	231	pho2∆	447425	2684	8378.7	3873.4999999999995	12232.2
03/15/22	C1	188	pho2∆	482119	1670	28046.7	1907.7999999999997	35002
03/15/22	C2	212	PHO2	389985	770	13755.7	1429.5	21404.7
03/15/22	C3	212	PHO2	416236	779	12939.7	1275.5	19721.4
03/15/22	C4	212	PHO2	387212	488	8898.7	965.0000000000001	13756.400000000001
03/15/22	C5	188	PHO2	413714	912	22908.2	1494.4	34538.799999999996
03/15/22	C6	219	pho2∆	404143	1010	8670.7	1623.7999999999997	12877.2
03/15/22	C7	219	pho2∆	367226	798	7704.7	1636	13043
03/15/22	C8	219	pho2∆	426413	1081	9841.7	1610.5	14185.6
03/15/22	C9	188	pho2∆	482640	782	16561.2	928.1999999999999	21538.3
03/15/22	C10	233	PHO2	421450	2042	10116.7	2979.7999999999997	14839
03/15/22	C11	233	PHO2	392189.5	2169.5	10862.7	3506.1	17077.9
03/15/22	C12	233	PHO2	400181.5	2234	9842.7	3536.1	15829.400000000001
03/15/22	D1	NA	PHO2	491309	202	1040.7	134.0000000000001	1199
