file	sample	row	col	block	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	Neg	A	1	A1	A1	38	5	5	157125	709.00006103515625	686	6598.820564539975	6625.279891808995
A2	B18	A	2	A1	A2	30000	29643	29263	452472	1525.0001220703125	8220.9990234375	2066.6015708481955	10940.888857230118
A3	B18	A	3	A1	A3	30000	29654	29352	461200.5	1579.9998779296875	8379	2076.7358698028893	10866.076797941714
A4	B18	A	4	A4	A4	30000	29717	29307	455388	1420.9998779296875	8530.9990234375	1878.5034036474626	11174.139105458835
A5	B18	A	5	A4	A5	30000	29601	29087	475607	1510.999755859375	9853.001953125	1894.7894904733737	12111.872996780923
A6	B18	A	6	A4	A6	30000	29567	29072	483414	1611.000244140625	10845	1960.0362221125158	13173.142044260905
A7	B18	A	7	A7	A7	30000	29512	28997	490819	1474.0001220703125	10947.0009765625	1744.9137889910792	12805.409973245807
A8	B18	A	8	A7	A8	30000	29494	28958	495462	1441.9998779296875	11269.001953125	1697.527148514746	13014.392354413336
A9	B18	A	9	A7	A9	30000	29460	28981	493552	1557.000244140625	12141.001953125	1837.2591657765643	14124.427036979645
A10	Neg	A	10	A10	A10	48	8	7	333745	1437.999755859375	10731.0009765625	2196.145638554517	17532.565771525777
A11	B18	A	11	A10	A11	30000	29539	28909	489548	1405.9996337890625	13754.0009765625	1668.932778018867	16326.198762385273
A12	B18	A	12	A10	A12	30000	29611	29146	470405	1737.999755859375	22140.5	2180.786278877559	27974.240172039994
B1	B18	B	1	A1	B1	30000	29686	29259	454827	1643.9996337890625	9266.001953125	2194.3681602454594	12403.963996897932
B2	B18	B	2	A1	B2	30000	29684	29209	475768	1615.9996337890625	7416.00048828125	2008.9403251746908	9131.805934018064
B3	yH156	B	3	A1	B3	22157	21634	21361	549333	1042.000244140625	121.99999237060547	976.1351219635804	115.65898370812288
B4	B18	B	4	A4	B4	30000	29630	29098	476493.5	1558	8267.998046875	1918.166199773722	9992.848742091508
B5	B18	B	5	A4	B5	30000	29534	28964	501754.5	1639.0001220703125	9497.998046875	1882.9783378918362	10763.437058949425
B6	yH156	B	6	A4	B6	21264	20401	20175	580637	1119.999755859375	131	964.1211527356054	115.23686345101954
B7	B18	B	7	A7	B7	30000	29495	28863	505899	1596.0001220703125	10746.998046875	1796.09100811401	12066.0615688162
B8	B18	B	8	A7	B8	30000	29466	28875	515659	1624.0003662109375	11033.0009765625	1776.857818941911	12022.196153647401
B9	yH156	B	9	A7	B9	25468	24179	23968	594242	1149	136.00001525878906	951.9934447082023	116.36223430650115
B10	B18	B	10	A10	B10	30000	29392	28826	512450.5	1658.000244140625	13444.9990234375	1814.0734604760055	14660.79393918072
B11	B18	B	11	A10	B11	30000	29496	28641	512193	1492.0003662109375	23689.99609375	1658.2378325785812	26552.17995721668
B12	yH156	B	12	A10	B12	17337	16428	16294	605443	1182.0001220703125	150.99998474121094	938.0488690110001	124.38637282066409
C1	B18	C	1	A1	C1	30000	29706	29076	475352	1801.0003662109375	16102.00390625	2260.42869450155	20465.65427361733
C2	B18	C	2	A1	C2	30000	29384	28688	516810	1874.000244140625	15640.99609375	2070.7599690045163	17611.611991864258
C3	B18	C	3	A1	C3	30000	29520	28720	507652.5	1784	15942.50146484375	2001.8743780512805	18226.998521180532
C4	B18	C	4	A4	C4	30000	29357	28534	517958.5	1768.5003051757812	16860.4990234375	1959.281962765514	18850.856748954004
C5	B18	C	5	A4	C5	30000	29307	28448	527748.5	1801.0003662109375	18884	1922.5394531933862	20440.737376946803
C6	B18	C	6	A4	C6	30000	29206	28248	542800	1874.000244140625	20393.001953125	1901.428407510065	21039.509947493916
C7	B18	C	7	A7	C7	30000	29160	28195	548366	1828.0001220703125	21698.00390625	1839.8952737085792	22165.908864995712
C8	B18	C	8	A7	C8	30000	29032	28064	548763	1852.9998779296875	22140.00390625	1836.815870922207	22283.605180916806
C9	B18	C	9	A7	C9	30000	29017	28083	556943	1921.0003662109375	23471	1871.9283099394786	23137.622745897395
C10	B18	C	10	A10	C10	30000	28885	27953	555056	1922.0001220703125	24903	1870.790673468332	24417.432977804983
C11	B18	C	11	A10	C11	30000	28871	27935	567334	1908.9998779296875	26073	1793.842389644888	24913.455790823067
C12	B18	C	12	A10	C12	30000	29190	28262	537676.5	2015.999755859375	34247.5	2039.7021978226253	34732.29827763207
D1	B18	D	1	A1	D1	30000	29641	28855	479477	1825.999755859375	18680.99609375	2257.155616849108	23336.089069072248
D2	B18	D	2	A1	D2	30000	29549	28688	505657	1811.0003662109375	17896.998046875	2063.6962226085398	20625.976834575675
