file	sample	row	col	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A2-1405	B18	A	2	A2-1405	30000	28998	14911	12867	371765	1292.000244140625	28969.998046875	1853.7669993277834	42439.05449533245
A2-1455	B18	A	2	A2-1455	30000	28717	15076	12745	382010	1362.000244140625	33216.00390625	1909.5498477091826	47691.29074451894
A2-1535	B18	A	2	A2-1535	20000	19205	9156	7742	373307.5	1274	37163.49609375	1824.6296772871665	53845.189535699385
A2-1600	B18	A	2	A2-1600	20000	19423	9939	8514	400497	1340.0001220703125	38189.001953125	1803.5464042992776	51735.251535658215
A2-1615	B18	A	2	A2-1615	20000	19456	9948	8556	398165	1328.000244140625	38413.498046875	1796.4076339170406	52489.92407084511
A1	B18	A	1	A1	20000	18778	9091	6035	255122	900.00006103515625	28441.994140625	1778.9180184043312	57213.536037658814
A2	B18	A	2	A2	20000	19472	8883	7450	369580	1423.0001220703125	32140.5009765625	2061.1597811810525	45866.65407261619
A3	B18	A	3	A3	20000	18646	9548	5567	317923	1236.9998779296875	28251.998046875	1991.8713355263096	47224.7469475721
A4	B18	A	4	A4	20000	19456	9840	8216	405619.5	1519.5001220703125	33837.49609375	2029.2140614850393	44884.75205413469
A5	B18	A	5	A5	20000	19416	10299	8678	421232	1568.000244140625	41679.00390625	1981.692827055688	52649.22090807689
A6	B18	A	6	A6	20000	18507	10209	6366	313888.5	1116.000244140625	29587	1838.4984761696653	50581.15498530739
A7	B18	A	7	A7	20000	19294	9664	8161	436593	1394.9998779296875	25811	1723.6845766212525	31462.57393368634
A8	B18	A	8	A8	20000	19226	9832	8071	428918	1414.000244140625	28226	1785.1933100987653	35330.49155362774
A9	B18	A	9	A9	20000	19116	9852	8081	420146	1463.9996337890625	32205	1896.501827787575	41477.593594348364
A10	B18	A	10	A10	20000	18912	10664	6585	316307	1178.999755859375	30234.00390625	1903.3120695043642	50790.72880930466
A11	B18	A	11	A11	20000	19194	10339	8490	397289.5	1245.9996337890625	24365.00390625	1687.6238185555198	33043.84586564913
A12	B18	A	12	A12	20000	18487	10326	6423	308827	1089	30435.994140625	1781.0656858404577	52232.59848948765
B1	neg	B	1	B1	93	73	50	27	361879	1046	29860.99609375	1599.4231588607388	53767.60784806943
B2	B18	B	2	B2	20000	19434	9991	8503	432762	1481	31530.99609375	1858.2342733387522	39034.69940480764
B3	B18	B	3	B3	20000	18835	10196	8115	404396	1428.999755859375	27792.005859375	1906.4821720701607	37039.139851485146
B4	B18	B	4	B4	20000	18911	10295	8020	403791	1507.5001831054688	35634.00390625	2027.723741766423	47778.26354906065
B5	yH156	B	5	B5	20000	19270	10691	9276	429428.5	818.99993896484375	112.99999237060547	994.4836698109157	134.80612392046982
B6	B18	B	6	B6	20000	19202	10241	8604	418447	1502.999755859375	38457.99609375	1906.3966841062038	49068.25354485405
B7	B18	B	7	B7	20000	18581	10397	8207	409762	1243.9998779296875	27103.99609375	1666.5674662222486	36165.80776361246
B8	B18	B	8	B8	20000	18673	10256	8118	423487	1342.999755859375	28391.4970703125	1709.9790618385177	36105.33742141984
B9	yH296	B	9	B9	20000	19101	11147	9608	414602	861.00006103515625	2776.4996337890625	1056.4236369533514	3533.074476415709
B10	B18	B	10	B10	20000	18772	11121	6679	305069	1133	29314.001953125	1871.8664236120112	51070.09456678634
B11	B18	B	11	B11	20000	19228	10443	8761	412341	1266	26247	1641.4715239074797	34628.83952587464
B12	B18	B	12	B12	20000	19116	9924	8130	427209.5	1298.0001220703125	26777.005859375	1639.6776172316909	33751.34782626537
C1	B18	C	1	C1	20000	19110	10841	9025	389028	1393.000244140625	33990	1898.8187957947835	46801.0492366771
