Sample,Time,Parameter,Count,p_Gated,MFI
Neg,9:05,Pho4-GFP-GFP-H,9947,49.735,591
Neg,9:05,PHO5pr-mCherry-mCherry-H,9947,49.735,88
Pos,9:05,Pho4-GFP-GFP-H,10416,52.08,1106
Pos,9:05,PHO5pr-mCherry-mCherry-H,10416,52.08,4752
Neg,9:30,Pho4-GFP-GFP-H,9592,47.96,550
Neg,9:30,PHO5pr-mCherry-mCherry-H,9592,47.96,92
Pos,9:30,Pho4-GFP-GFP-H,10279,51.395,1093
Pos,9:30,PHO5pr-mCherry-mCherry-H,10279,51.395,7233
Neg,9:45,Pho4-GFP-GFP-H,9832,49.16,544
Neg,9:45,PHO5pr-mCherry-mCherry-H,9832,49.16,94
Pos,9:45,Pho4-GFP-GFP-H,10087,50.435,1095
Pos,9:45,PHO5pr-mCherry-mCherry-H,10087,50.435,9570
Neg,10:00,Pho4-GFP-GFP-H,9811,49.055,528
Neg,10:00,PHO5pr-mCherry-mCherry-H,9811,49.055,94
Pos,10:00,Pho4-GFP-GFP-H,9999,49.995,1105
Pos,10:00,PHO5pr-mCherry-mCherry-H,9999,49.995,11664
Neg,10:30,Pho4-GFP-GFP-H,8985,44.925,500
Neg,10:30,PHO5pr-mCherry-mCherry-H,8985,44.925,97
Pos,10:30,Pho4-GFP-GFP-H,9927,49.635,1126
Pos,10:30,PHO5pr-mCherry-mCherry-H,9927,49.635,17706
Neg,11:00,Pho4-GFP-GFP-H,9317,46.585,494
Neg,11:00,PHO5pr-mCherry-mCherry-H,9317,46.585,98
Pos,11:00,Pho4-GFP-GFP-H,10059,50.295,1147
Pos,11:00,PHO5pr-mCherry-mCherry-H,10059,50.295,21708
Neg,12:00,Pho4-GFP-GFP-H,9351,46.755,494
Neg,12:00,PHO5pr-mCherry-mCherry-H,9351,46.755,100
Pos,12:00,Pho4-GFP-GFP-H,10017,50.085,1204
Pos,12:00,PHO5pr-mCherry-mCherry-H,10017,50.085,27717
Pos,13:00,Pho4-GFP-GFP-H,9871,49.355,1295
Pos,13:00,PHO5pr-mCherry-mCherry-H,9871,49.355,32266
