Sample,Tube,Group,Pho4,Pho4GFP,PHO5RFP,PHO2,Parameter,Count,Median,CV,rCV
yH279,1A,control,CgPho4,No-GFP,T,ScPHO2,Pho4-GFP,23594,924,42.56,39.63
yH279,1A,control,CgPho4,No-GFP,T,ScPHO2,PHO5pr-mCherry,23594,10060,39.06,39.87
yh295,1C,control,pho4-,No-GFP,T,pho2-,Pho4-GFP,15000,961,43.66,43.97
yh295,1C,control,pho4-,No-GFP,T,pho2-,PHO5pr-mCherry,15000,617,68.73,54.07
yH296,1D,control,pho4-,No-GFP,T,ScPHO2,Pho4-GFP,15000,1039,42.15,41.24
yH296,1D,control,pho4-,No-GFP,T,ScPHO2,PHO5pr-mCherry,15000,526,62.59,54.4
G1,1E,endogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,Pho4-GFP,11685,2730,34.44,34.92
G1,1E,endogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,11685,14498,37.97,32.28
G2,1F,endogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,Pho4-GFP,11144,2877,31.56,32.83
G2,1F,endogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,11144,88137,34.49,31.58
G3,1G,endogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,2953,33.29,33.22
G3,1G,endogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,19619,79.93,102.53
A1,2A,exogenous,ScPho4,ScPho4-mNeon,T,pho2-,Pho4-GFP,14787,1441,41.37,41.77
A1,2A,exogenous,ScPho4,ScPho4-mNeon,T,pho2-,PHO5pr-mCherry,14787,585,122.3,58.04
A2,2B,exogenous,ScPho4,ScPho4-mNeon,T,pho2-,Pho4-GFP,15000,1561,39.95,39.32
A2,2B,exogenous,ScPho4,ScPho4-mNeon,T,pho2-,PHO5pr-mCherry,15000,690,86.38,57.09
A4,2C,exogenous,ScPho4,ScPho4-mNeon,T,pho2-,Pho4-GFP,15000,1574,40.91,39.66
A4,2C,exogenous,ScPho4,ScPho4-mNeon,T,pho2-,PHO5pr-mCherry,15000,597,161.21,55.88
B1,2D,exogenous,ScPho4,ScPho4-EGFP,T,pho2-,Pho4-GFP,15000,1367,44.55,41.43
B1,2D,exogenous,ScPho4,ScPho4-EGFP,T,pho2-,PHO5pr-mCherry,15000,494,81.99,65.43
B2,2E,exogenous,ScPho4,ScPho4-EGFP,T,pho2-,Pho4-GFP,15000,1034,43.64,40.15
B2,2E,exogenous,ScPho4,ScPho4-EGFP,T,pho2-,PHO5pr-mCherry,15000,551,108.28,59.73
B3,2F,exogenous,ScPho4,ScPho4-EGFP,T,pho2-,Pho4-GFP,15000,2121,41.09,40.1
B3,2F,exogenous,ScPho4,ScPho4-EGFP,T,pho2-,PHO5pr-mCherry,15000,79,1048.55,43.16
B4,2G,exogenous,ScPho4,ScPho4-EGFP,T,pho2-,Pho4-GFP,15000,1035,43.98,40.25
B4,2G,exogenous,ScPho4,ScPho4-EGFP,T,pho2-,PHO5pr-mCherry,15000,574,68.29,58.3
C1,3A,exogenous,CgPho4,CgPho4-mNeon,T,pho2-,Pho4-GFP,15000,1225,49.6,50.95
C1,3A,exogenous,CgPho4,CgPho4-mNeon,T,pho2-,PHO5pr-mCherry,15000,3781,90.89,118.18
C2,3B,exogenous,CgPho4,CgPho4-mNeon,T,pho2-,Pho4-GFP,1480,3377,36.55,27.88
C2,3B,exogenous,CgPho4,CgPho4-mNeon,T,pho2-,PHO5pr-mCherry,1480,16689,41.94,29.95
C3,3C,exogenous,CgPho4,CgPho4-mNeon,T,pho2-,Pho4-GFP,15000,1546,40.26,42.1
C3,3C,exogenous,CgPho4,CgPho4-mNeon,T,pho2-,PHO5pr-mCherry,15000,5810,49.79,48.04
D1,3D,exogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,3140,32.85,31.59
D1,3D,exogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,7837,61.95,73.77
D3,3E,exogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1804,32.32,31.72
D3,3E,exogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,6789,41.07,39.33
D4,3F,exogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,3115,29.81,29.51
D4,3F,exogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,13502,35.98,33.91
D5,3G,exogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1768,34.68,32.7
D5,3G,exogenous,ScPho4,ScPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,7318,47.84,42.81
E1,4A,exogenous,ScPho4,ScPho4-EGFP,T,ScPHO2,Pho4-GFP,15000,1281,34.09,30.79
E1,4A,exogenous,ScPho4,ScPho4-EGFP,T,ScPHO2,PHO5pr-mCherry,15000,5720,43.16,39.22
E2,4B,exogenous,ScPho4,ScPho4-EGFP,T,ScPHO2,Pho4-GFP,15000,1289,33.88,31.17
E2,4B,exogenous,ScPho4,ScPho4-EGFP,T,ScPHO2,PHO5pr-mCherry,15000,6707,38.24,36.1
E3,4C,exogenous,ScPho4,ScPho4-EGFP,T,ScPHO2,Pho4-GFP,15000,1029,53.33,42.79
E3,4C,exogenous,ScPho4,ScPho4-EGFP,T,ScPHO2,PHO5pr-mCherry,15000,1617,97.13,124.23
F1,4D,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1580,39.05,38.66
F1,4D,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,6351,49.85,44.7
F2,4E,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1796,34.57,34.51
F2,4E,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,9011,39.63,36.91
F3,4F,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1888,34.48,34.63
F3,4F,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,10527,38.63,34.65
F4,4G,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,Pho4-GFP,11400,1971,32.37,33.06
F4,4G,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,11400,11321,36.38,32.81
M1,5A,plasmid,ScPho4,ScPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1676,37.88,35.83
