Group,ID,Sample,Rep,Pho4,Pho2,PHO5RFP,FP,Parameter,Count,Perc_gated,Median,CV,rCV
Jia,A12-1,A12,1,pH188,pho2del,ura3,T,PHO5pr-mCherry-H,10000,19.035,6914,50.22,46.53
Jia,A12-1,A12,1,pH188,pho2del,ura3,T,Pho4-GFP-H,10000,19.035,1152,46.79,41.96
Jia,A12-2,A12,2,pH188,pho2del,ura3,T,PHO5pr-mCherry-H,10000,18.784,7092,47.81,44.06
Jia,A12-2,A12,2,pH188,pho2del,ura3,T,Pho4-GFP-H,10000,18.784,1143,42.34,39.95
Jia,A12-3,A12,3,pH188,pho2del,ura3,T,PHO5pr-mCherry-H,10000,19.097,8198,47.48,44.34
Jia,A12-3,A12,3,pH188,pho2del,ura3,T,Pho4-GFP-H,10000,19.097,1132,43.52,40.47
Jia,A17-1,A17,1,pH193,pho2del,ura3,T,PHO5pr-mCherry-H,10000,18.47,3516,63.86,54.26
Jia,A17-1,A17,1,pH193,pho2del,ura3,T,Pho4-GFP-H,10000,18.47,1738,60.14,54.17
Jia,A17-2,A17,2,pH193,pho2del,ura3,T,PHO5pr-mCherry-H,10000,19.763,3021,65.36,56.78
Jia,A17-2,A17,2,pH193,pho2del,ura3,T,Pho4-GFP-H,10000,19.763,1531,60.17,52
Jia,A17-3,A17,3,pH193,pho2del,ura3,T,PHO5pr-mCherry-H,10000,22.837,2741,64.91,57.97
Jia,A17-3,A17,3,pH193,pho2del,ura3,T,Pho4-GFP-H,10000,22.837,1536,55.26,50.26
Jia,A18-1,A18,1,pH194,pho2del,ura3,T,PHO5pr-mCherry-H,10000,22.971,1000,86.56,57.82
Jia,A18-1,A18,1,pH194,pho2del,ura3,T,Pho4-GFP-H,10000,22.971,1239,57.97,45.95
Jia,A18-2,A18,2,pH194,pho2del,ura3,T,PHO5pr-mCherry-H,10000,23.517,1028,90.47,58.55
Jia,A18-2,A18,2,pH194,pho2del,ura3,T,Pho4-GFP-H,10000,23.517,1203,62.48,46.67
Jia,A18-3,A18,3,pH194,pho2del,ura3,T,PHO5pr-mCherry-H,10000,22.124,1014,89.28,59.07
Jia,A18-3,A18,3,pH194,pho2del,ura3,T,Pho4-GFP-H,10000,22.124,1233,60.72,46.01
Jia,A20-3,A20,3,pH177,pho2del,ura3,T,PHO5pr-mCherry-H,10000,17.784,3571,58.99,49.18
Jia,A20-3,A20,3,pH177,pho2del,ura3,T,Pho4-GFP-H,10000,17.784,4612,59.27,51.85
Jia,A20-1,A20,1,pH177,pho2del,ura3,T,PHO5pr-mCherry-H,10000,18.853,3826,54.12,46.82
Jia,A20-1,A20,1,pH177,pho2del,ura3,T,Pho4-GFP-H,10000,18.853,4698,55.03,48.39
Jia,A20-2,A20,2,pH177,pho2del,ura3,T,PHO5pr-mCherry-H,10000,16.518,3485,61.42,50.11
Jia,A20-2,A20,2,pH177,pho2del,ura3,T,Pho4-GFP-H,10000,16.518,4734,58.15,50.74
Jia,A3-2,A3,2,pH179,pho2del,ura3,T,PHO5pr-mCherry-H,10000,19.43,5168,48.87,42.73
Jia,A3-2,A3,2,pH179,pho2del,ura3,T,Pho4-GFP-H,10000,19.43,2831,49.48,41.61
Jia,A3-3,A3,3,pH179,pho2del,ura3,T,PHO5pr-mCherry-H,10000,12.255,4843,43.83,43.29
Jia,A3-3,A3,3,pH179,pho2del,ura3,T,Pho4-GFP-H,10000,12.255,3370,48.79,45.75
Jia,A3-1,A3,1,pH179,pho2del,ura3,T,PHO5pr-mCherry-H,8975,15.144,6373,50.6,46.04
Jia,A3-1,A3,1,pH179,pho2del,ura3,T,Pho4-GFP-H,8975,15.144,2874,51.27,45.24
Jia,A4-1,A4,1,pH180,pho2del,ura3,T,PHO5pr-mCherry-H,10000,18.483,3227,57.94,51.83
Jia,A4-1,A4,1,pH180,pho2del,ura3,T,Pho4-GFP-H,10000,18.483,2519,50.39,47.24
Jia,A4-2,A4,2,pH180,pho2del,ura3,T,PHO5pr-mCherry-H,10000,22.162,3013,62.44,55.6
Jia,A4-2,A4,2,pH180,pho2del,ura3,T,Pho4-GFP-H,10000,22.162,1785,56.79,52.49
Jia,A4-3,A4,3,pH180,pho2del,ura3,T,PHO5pr-mCherry-H,10000,18.914,2635,58.82,49.09
Jia,A4-3,A4,3,pH180,pho2del,ura3,T,Pho4-GFP-H,10000,18.914,1822,52.16,48.01
Jia,B12-2,B12,2,pH188,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,23.899,5809,52.05,46.3
Jia,B12-2,B12,2,pH188,ScPho2,ura3,T,Pho4-GFP-H,10000,23.899,996,43.02,40.79
Jia,B12-3,B12,3,pH188,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,22.844,5735,52.38,46.16
Jia,B12-3,B12,3,pH188,ScPho2,ura3,T,Pho4-GFP-H,10000,22.844,993,42.11,37.77
Jia,B12-1,B12,1,pH188,ScPho2,ura3,T,PHO5pr-mCherry-H,10843,25.203,5568,57.15,48.91
Jia,B12-1,B12,1,pH188,ScPho2,ura3,T,Pho4-GFP-H,10843,25.203,1031,43.23,40.41
Jia,B17-1,B17,1,pH193,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,15.973,10174,39.33,35.21
Jia,B17-1,B17,1,pH193,ScPho2,ura3,T,Pho4-GFP-H,10000,15.973,1384,34.09,26.89
Jia,B17-2,B17,2,pH193,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,20.065,9965,38.84,35.81
Jia,B17-2,B17,2,pH193,ScPho2,ura3,T,Pho4-GFP-H,10000,20.065,1364,32.25,28.8
Jia,B17-3,B17,3,pH193,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,18.323,6839,53.76,46.58
Jia,B17-3,B17,3,pH193,ScPho2,ura3,T,Pho4-GFP-H,10000,18.323,1145,36.99,32.5
Jia,B18-1,B18,1,pH194,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,28.331,8527,47.59,45.16
Jia,B18-1,B18,1,pH194,ScPho2,ura3,T,Pho4-GFP-H,10000,28.331,1251,41.42,38.4
Jia,B18-2,B18,2,pH194,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,27.317,8647,44.24,41.7
Jia,B18-2,B18,2,pH194,ScPho2,ura3,T,Pho4-GFP-H,10000,27.317,1284,40.49,37.06
Jia,B18-3,B18,3,pH194,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,24.204,8281,44.77,41.85
Jia,B18-3,B18,3,pH194,ScPho2,ura3,T,Pho4-GFP-H,10000,24.204,1279,40.19,36.17
Jia,B20-1,B20,1,pH177,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,15.781,9615,39.52,35.17
