file,sample,row,col,block
A1,Neg,A,1,A1
A2,B18,A,2,A1
A3,B18,A,3,A1
A4,B18,A,4,A4
A5,B18,A,5,A4
A6,B18,A,6,A4
A7,B18,A,7,A7
A8,B18,A,8,A7
A9,B18,A,9,A7
A10,Neg,A,10,A10
A11,B18,A,11,A10
A12,B18,A,12,A10
B1,B18,B,1,A1
B2,B18,B,2,A1
B3,yH156,B,3,A1
B4,B18,B,4,A4
B5,B18,B,5,A4
B6,yH156,B,6,A4
B7,B18,B,7,A7
B8,B18,B,8,A7
B9,yH156,B,9,A7
B10,B18,B,10,A10
B11,B18,B,11,A10
B12,yH156,B,12,A10
C1,B18,C,1,A1
C2,B18,C,2,A1
C3,B18,C,3,A1
C4,B18,C,4,A4
C5,B18,C,5,A4
C6,B18,C,6,A4
C7,B18,C,7,A7
C8,B18,C,8,A7
C9,B18,C,9,A7
C10,B18,C,10,A10
C11,B18,C,11,A10
C12,B18,C,12,A10
D1,B18,D,1,A1
D2,B18,D,2,A1
D3,yH156,D,3,A1
D4,B18,D,4,A4
D5,B18,D,5,A4
D6,yH156,D,6,A4
D7,B18,D,7,A7
D8,B18,D,8,A7
D9,yH156,D,9,A7
D10,B18,D,10,A10
D11,B18,D,11,A10
D12,yH156,D,12,A10
E1,B18,E,1,E1
E2,B18,E,2,E1
E3,B18,E,3,E1
E4,B18,E,4,E4
E5,B18,E,5,E4
E6,B18,E,6,E4
E7,B18,E,7,E7
E8,B18,E,8,E7
E9,B18,E,9,E7
E10,B18,E,10,E10
E11,B18,E,11,E10
E12,B18,E,12,E10
F1,B18,F,1,E1
F2,B18,F,2,E1
F3,yH156,F,3,E1
F4,B18,F,4,E4
F5,B18,F,5,E4
F6,yH156,F,6,E4
F7,B18,F,7,E7
F8,B18,F,8,E7
F9,yH156,F,9,E7
F10,B18,F,10,E10
F11,B18,F,11,E10
F12,yH156,F,12,E10
G1,Neg,G,1,E1
G2,B18,G,2,E1
G3,B18,G,3,E1
G4,B18,G,4,E4
G5,B18,G,5,E4
G6,B18,G,6,E4
G7,B18,G,7,E7
G8,B18,G,8,E7
G9,B18,G,9,E7
G10,Neg,G,10,E10
G11,B18,G,11,E10
G12,B18,G,12,E10
H1,B18,H,1,E1
H2,B18,H,2,E1
H3,yH156,H,3,E1
H4,B18,H,4,E4
H5,B18,H,5,E4
H6,yH156,H,6,E4
H7,B18,H,7,E7
H8,B18,H,8,E7
H9,yH156,H,9,E7
H10,B18,H,10,E10
H11,B18,H,11,E10
H12,yH156,H,12,E10
