well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	188-555-1	188-555-1	29210	27242	20383	429754	1588.9998779296875	20356.005859375	1952.2833994642788	25525.15912941408
A2	194-555-1	194-555-1	18284	17692	15230	389811	1728.000244140625	24352.998046875	2280.5549527358753	32571.804536753276
A3	194-555-2	194-555-2	17020	16542	13941	356912	1630.0001220703125	22382.998046875	2367.409232054575	33041.95299170418
A4	194-555-3	194-555-3	18322	17648	14954	382682.5	1735	23833.998046875	2331.3144986074713	32867.26707456029
A5	188-373-1	188-373-1	20934	20004	15616	316842.5	1291.000244140625	14880.001953125	2120.2509519327855	24702.226728469293
A6	209-373-1	209-373-1	22353	21193	17993	468788	2697.00048828125	14504.9970703125	3026.29777482557	16697.63499268989
A7	209-373-2	209-373-2	23181	21727	18233	482579	2959.99951171875	18151.998046875	3177.81585934215	19682.254494195993
A8	209-373-3	209-373-3	22091	20821	17690	484103	3384.0009765625	20952.501953125	3811.980801684852	23681.612595673276
A9	188-555-2	188-555-2	20783	19607	15109	368905	1585.0001220703125	23400.00390625	2235.9691228649895	32777.97534856007
A10	230-555-1	230-555-1	19733	18740	17213	464603	1703	36372.9921875	1880.0739538060886	40642.32426090616
A11	230-555-2	230-555-2	20510	19120	17435	466298	1699.0003662109375	36894.00390625	1882.2749055551542	41071.30875573612
A12	230-555-3	230-555-3	21039	19519	17921	482288	1811.0003662109375	39533.9921875	1917.081552856161	42747.19891840908
B1	NA-blank-1	blank1	6984	480	406	161319	870	422.99998474121094	2436.446646844939	1186.5773460025118
B2	194-373-1	194-373-1	19513	18729	16262	372760	1713.4999389648438	1206.5	2299.92687169367	1594.462959173463
B3	194-373-2	194-373-2	20336	19307	16826	386922.5	1911.0001220703125	1520.9998779296875	2444.8815113462724	1915.6058310321428
B4	194-373-3	194-373-3	18667	17919	15554	361657.5	1608.000244140625	1106	2222.868665122327	1489.4003689108742
B5	NA-156-1	yH156-1	16525	16341	14239	366749	593	76	842.6682818136807	98.45796918802607
B6	209-555-1	209-555-1	18525	17893	14839	313182	1490.9996337890625	9382.9990234375	2453.9569264831016	15570.153057279731
B7	209-555-2	209-555-2	18157	17493	14900	346121	1658.999755859375	10153.001953125	2480.0778708604357	14979.917186824732
B8	209-555-3	209-555-3	19318	18455	15339	336790	1622.9998779296875	10489	2478.2654583198014	16010.459450097109
B9	NA-373-1	yH373-1	16918	16553	14253	339587	566.00006103515625	713.99993896484375	855.1968943067228	1079.703729296681
B10	230-373-1	230-373-1	21822	20531	18394	347853.5	3789	9187.49951171875	5651.183329313647	13666.954625338556
B11	230-373-2	230-373-2	21920	20510	18162	389711	4520.0009765625	10050.998046875	5902.7458402766715	13018.296469405423
B12	230-373-3	230-373-3	22625	20958	18531	418239	3122.999267578125	6648	3928.2084670118206	8925.75251896464
C1	188-373-2	188-373-2	20046	19215	15783	351219	1423.999755859375	14611.0009765625	2109.5057260298545	21400.967448681447
C2	211-555-1	211-555-1	24258	21947	19415	548032	2788.000244140625	49888.9921875	2606.910114663576	47848.46329271478
C3	211-555-2	211-555-2	29078	24376	21018	581994.5	3081.000732421875	59031.501953125	2712.296215928186	53363.55786496635
C4	211-555-3	211-555-3	32306	25693	22248	602559	3198.5	66835.99609375	2744.883772714481	58463.502217882284
C5	188-555-3	188-555-3	18837	17865	14811	361803	1455.999755859375	18818.00390625	2082.6491137147245	26801.7735668159
C6	218-373-1	218-373-1	19412	18339	9790	419687.5	6044.998779296875	11874.0029296875	8299.12327147005	17366.791311396628
C7	218-373-2	218-373-2	21051	20055	17988	432814.5	5313.999755859375	870.00006103515625	6218.847438910316	1005.9711204068401
C8	218-373-3	218-373-3	20355	19191	16962	411041.5	4659.499267578125	849.00006103515625	5573.766338601956	1061.5726994256847
