Well ,Assay,Genotype,Well.Type ,Sample,Dilution,Ct
  A1 ,ACT1,WT,Unknown,Untreated,1,15.6
  A2 ,ACT1,WT,Unknown,Untreated,1,15.56
  A3 ,ACT1,WT,Unknown,Untreated,1,15.62
  A4 ,ACT1,WT,Unknown,H2O2,1,15.46
  A5 ,ACT1,WT,Unknown,H2O2,1,14.96
  A6 ,ACT1,WT,Unknown,H2O2,1,15.33
  A7 ,ACT1,WT,Unknown,menadione,1,14.93
  A8 ,ACT1,WT,Unknown,menadione,1,15.35
  A9 ,ACT1,WT,Unknown,menadione,1,15.34
 A10 ,PHO84,WT,Unknown,Untreated,1,25.96
 A11 ,PHO84,WT,Unknown,Untreated,1,26.76
 A12 ,PHO84,WT,Unknown,Untreated,1,27.62
  B1 ,PHO84,WT,Unknown,H2O2,1,24.63
  B2 ,PHO84,WT,Unknown,H2O2,1,24.8
  B3 ,PHO84,WT,Unknown,H2O2,1,24.5
  B4 ,PHO84,WT,Unknown,menadione,1,24.47
  B5 ,PHO84,WT,Unknown,menadione,1,23.99
  B6 ,PHO84,WT,Unknown,menadione,1,24.52
  B7 ,CTA1,WT,Unknown,Untreated,1,20.53
  B8 ,CTA1,WT,Unknown,Untreated,1,20.66
  B9 ,CTA1,WT,Unknown,Untreated,1,19.73
 B10 ,CTA1,WT,Unknown,H2O2,1,13.64
 B11 ,CTA1,WT,Unknown,H2O2,1,13.58
 B12 ,CTA1,WT,Unknown,H2O2,1,13.57
  C1 ,CTA1,WT,Unknown,menadione,1,17.86
  C2 ,CTA1,WT,Unknown,menadione,1,18.53
  C3 ,CTA1,WT,Unknown,menadione,1,18.5
  C4 ,TSA1,WT,Unknown,Untreated,1,19.61
  C5 ,TSA1,WT,Unknown,Untreated,1,19.79
  C6 ,TSA1,WT,Unknown,Untreated,1,19.72
  C7 ,TSA1,WT,Unknown,H2O2,1,18.22
  C8 ,TSA1,WT,Unknown,H2O2,1,18.31
  C9 ,TSA1,WT,Unknown,H2O2,1,18.31
 C10 ,TSA1,WT,Unknown,menadione,1,15.75
 C11 ,TSA1,WT,Unknown,menadione,1,17.54
 C12 ,TSA1,WT,Unknown,menadione,1,16.46
  D1 ,ACT1,pho4Δ,Unknown,Untreated,1,16.6
  D2 ,ACT1,pho4Δ,Unknown,Untreated,1,16.61
  D3 ,ACT1,pho4Δ,Unknown,Untreated,1,16.7
  D4 ,ACT1,pho4Δ,Unknown,H2O2,1,15.91
  D5 ,ACT1,pho4Δ,Unknown,H2O2,1,16.14
  D6 ,ACT1,pho4Δ,Unknown,H2O2,1,16.52
  D7 ,ACT1,pho4Δ,Unknown,menadione,1,15.86
  D8 ,ACT1,pho4Δ,Unknown,menadione,1,16.18
  D9 ,ACT1,pho4Δ,Unknown,menadione,1,15.8
 D10 ,PHO84,pho4Δ,Unknown,Untreated,1,27.61
 D11 ,PHO84,pho4Δ,Unknown,Untreated,1,26.5
 D12 ,PHO84,pho4Δ,Unknown,Untreated,1,26.73
  E1 ,PHO84,pho4Δ,Unknown,H2O2,1,26.96
  E2 ,PHO84,pho4Δ,Unknown,H2O2,1,26.93
  E3 ,PHO84,pho4Δ,Unknown,H2O2,1,26.72
  E4 ,PHO84,pho4Δ,Unknown,menadione,1,26.16
  E5 ,PHO84,pho4Δ,Unknown,menadione,1,26.11
  E6 ,PHO84,pho4Δ,Unknown,menadione,1,26.23
  E7 ,CTA1,pho4Δ,Unknown,Untreated,1,20.96
  E8 ,CTA1,pho4Δ,Unknown,Untreated,1,21.24
  E9 ,CTA1,pho4Δ,Unknown,Untreated,1,20.88
 E10 ,CTA1,pho4Δ,Unknown,H2O2,1,14.71
 E11 ,CTA1,pho4Δ,Unknown,H2O2,1,14.63
 E12 ,CTA1,pho4Δ,Unknown,H2O2,1,14.84
  F1 ,CTA1,pho4Δ,Unknown,menadione,1,18.84
  F2 ,CTA1,pho4Δ,Unknown,menadione,1,19.5
  F3 ,CTA1,pho4Δ,Unknown,menadione,1,19.52
  F4 ,TSA1,pho4Δ,Unknown,Untreated,1,18.15
  F5 ,TSA1,pho4Δ,Unknown,Untreated,1,18.4
  F6 ,TSA1,pho4Δ,Unknown,Untreated,1,17.81
  F7 ,TSA1,pho4Δ,Unknown,H2O2,1,18.62
  F8 ,TSA1,pho4Δ,Unknown,H2O2,1,18.73
  F9 ,TSA1,pho4Δ,Unknown,H2O2,1,18.54
 F10 ,TSA1,pho4Δ,Unknown,menadione,1,16.85
 F11 ,TSA1,pho4Δ,Unknown,menadione,1,17.34
 F12 ,TSA1,pho4Δ,Unknown,menadione,1,16.76
