geneID	10m	20m	30m	40m	50m	60m	80m	100m	120m	160m	geneName	function
YAL015C	0.48	0.32	1.1	0.7	0.33	0.32	-0.49	-0.29	-0.45	-0.58	NTG1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress
YBL064C	3.4	2.81	3.79	3.33	3.52	3.03	2.34	2.64	2.84	3.11	PRX1	"Mitochondrial peroxiredoxin (1-Cys Prx) with thioredoxin peroxidase activity, has a role in reduction of hydroperoxides; reactivation requires Trr2p and glutathione; induced during respiratory growth and oxidative stress; phosphorylated"
YBR014C	0.49	1.3	1.32	-0.18	0.5	0.44	0.6	-0.23	0.49	0.59	GRX7	Cis-golgi localized monothiol glutaredoxin; more similar in activity to dithiol than other monothiol glutaredoxins; involved in the oxidative stress response; does not bind metal ions; functional overlap with GRX6
YBR244W	3.61	3.3	3.7	4.31	2.22	2.22	2.03	1.9	2.09	2.5	GPX2	Phospholipid hydroperoxide glutathione peroxidase induced by glucose starvation that protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress
YCL033C	-0.09	-1.03	0.48	-0.25	-0.27	0.26	0.19	-0.23	0.14	0.14	MXR2	"Methionine-R-sulfoxide reductase, involved in the response to oxidative stress; protects iron-sulfur clusters from oxidative inactivation along with MXR1; involved in the regulation of lifespan"
YCL035C	-0.12	0.15	1.15	1.47	1.27	1.02	0.44	0.06	0.31	0.39	GRX1	Hydroperoxide and superoxide-radical responsive heat-stable glutathione-dependent disulfide oxidoreductase with active site cysteine pair; protects cells from oxidative damage
YCL073C					0.7	0.14	0.19	-0.81	0.38		GEX1	Proton:glutathione antiporter localized to the vacuolar and plasma membranes; imports glutathione from the vacuole and exports it through the plasma membrane; has a role in resistance to oxidative stress and modulation of the PKA pathway
YDL010W	-0.43	0.11	0	2.37	-0.04	-0.1	0.03	-0.14	-0.04	-0.06	GRX6	Cis-golgi localized monothiol glutaredoxin that binds an iron-sulfur cluster; more similar in activity to dithiol than other monothiol glutaredoxins; involved in the oxidative stress response; functional overlap with GRX7
YDL243C	1.16	1.76	2.49	1.68	1.22	1.97	0.87	0.68	0.68	0.56	AAD4	Putative aryl-alcohol dehydrogenase; involved in oxidative stress response; similar to P. chrysosporium aryl-alcohol dehydrogenase; expression induced in cells treated with the mycotoxin patulin
YDR032C	0.81	0.44	1.71	0.98	1.1	0.79	1.34	1.18	0.86	0.93	PST2	"Protein with similarity to members of a family of flavodoxin-like proteins; induced by oxidative stress in a Yap1p dependent manner; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YDR049W	-0.43	-1.22		-1.19	-0.34	-0.22	-0.47	-0.4	-0.6	-0.36	VMS1	"Component of a Cdc48p-complex involved in protein quality control; exhibits cytosolic and ER-membrane localization, with Cdc48p, during normal growth, and contributes to ER-associated degradation (ERAD) of specific substrates at a step after their ubiquitination; forms a mitochondrially-associated complex with Cdc48p and Npl4p under oxidative stress that is required for ubiquitin-mediated mitochondria-associated protein degradation (MAD); conserved in C. elegans and humans"
YDR098C	0.15	0.57	-0.29	0.04	0.01	0.2	0.3	-0.34	0.2	0.21	GRX3	Hydroperoxide and superoxide-radical responsive glutathione-dependent oxidoreductase; monothiol glutaredoxin subfamily member along with Grx4p and Grx5p; protects cells from oxidative damage
