name	strain	Group	Pho4	Tag	Content	Pho2	PHO5RFP	n_root	n_cells	n_singlet	n_induction	BL1.H	YL2.H	ratio
177w-1.fcs	177w	LFS	pH177	mNeon	Sc(1-236)Cg(453-533)	TRUE	pho5	52168	38803	37161	34635	2876	34237.99609375	11.877081730070302
177w-2.fcs	177w	LFS	pH177	mNeon	Sc(1-236)Cg(453-533)	TRUE	pho5	56712	39657	38205	35810	2770.00048828125	29597.00390625	10.581593793840668
177w-3.fcs	177w	LFS	pH177	mNeon	Sc(1-236)Cg(453-533)	TRUE	pho5	31743	24631	23840	20396	3454	36776.994140625	10.643267278622496
177wo-1.fcs	177wo	LFS	pH177	mNeon	Sc(1-236)Cg(453-533)	FALSE	pho5	44576	41271	38625	35467	5845.00048828125	4318.99951171875	0.7432671658912251
177wo-2.fcs	177wo	LFS	pH177	mNeon	Sc(1-236)Cg(453-533)	FALSE	pho5	46081	42934	39857	36890	6710.99951171875	4399.00048828125	0.6541635009264608
177wo-3.fcs	177wo	LFS	pH177	mNeon	Sc(1-236)Cg(453-533)	FALSE	pho5	44057	41160	38435	36055	5207.99951171875	3605.99951171875	0.6949377502849318
179w-1.fcs	179w	LFS	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	TRUE	pho5	78265	45773	44257	40857	2695.00048828125	47991.98828125	17.71610811534694
179w-2.fcs	179w	LFS	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	TRUE	pho5	55436	31876	30680	27528	3015.000732421875	53950.00390625	17.8720867998502
179w-3.fcs	179w	LFS	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	TRUE	pho5	8309	2545	2205	1300	4090.4996337890625	43898.99609375	10.249332403111435
179wo-1.fcs	179wo	LFS	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	FALSE	pho5	47465	41906	39267	36109	2765.00048828125	5307.99951171875	1.8909546328584632
179wo-2.fcs	179wo	LFS	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	FALSE	pho5	43243	40006	37021	31773	2765.00048828125	7150	2.5684237440004756
179wo-3.fcs	179wo	LFS	pH179	mNeon	Cg(1-44)Sc(43-236)Cg(453-533)	FALSE	pho5	44351	40244	37518	35083	2174.999755859375	4013.000732421875	1.8379035919447317
180w-1.fcs	180w	LFS	pH180	mNeon	Cg(1-44)Sc(43-312)	TRUE	pho5	53779	39685	37891	35018	1754.999755859375	22256.4990234375	12.655422380320292
180w-2.fcs	180w	LFS	pH180	mNeon	Cg(1-44)Sc(43-312)	TRUE	pho5	42836	35598	33753	24850	2041.99951171875	26474.50390625	13.1301406327626
180w-3.fcs	180w	LFS	pH180	mNeon	Cg(1-44)Sc(43-312)	TRUE	pho5	49766	36652	35106	32602	2106.99951171875	29472.0078125	14.137843917496042
180wo-1.fcs	180wo	LFS	pH180	mNeon	Cg(1-44)Sc(43-312)	FALSE	pho5	47082	42296	39690	37404	2016.9996337890625	2531	1.2473566541189731
180wo-2.fcs	180wo	LFS	pH180	mNeon	Cg(1-44)Sc(43-312)	FALSE	pho5	42479	38529	36091	33695	1970.0003662109375	2401.99951171875	1.2137577059155897
180wo-3.fcs	180wo	LFS	pH180	mNeon	Cg(1-44)Sc(43-312)	FALSE	pho5	42474	38216	35686	33254	1956.9996337890625	2386.99951171875	1.2117868139777481
193w-1.fcs	193w	LFS	pH193	mNeon	Sc(1-224)Cg(381-533)	TRUE	pho5	34387	30157	28382	26469	1170.000244140625	5842.99853515625	4.951020207533557
193w-2.fcs	193w	LFS	pH193	mNeon	Sc(1-224)Cg(381-533)	TRUE	pho5	35159	30994	29111	26736	1300	6003.99853515625	4.5997780896021565
193w-3.fcs	193w	LFS	pH193	mNeon	Sc(1-224)Cg(381-533)	TRUE	pho5	38148	31700	29842	27963	1127.0001220703125	5841.00048828125	5.199599069908296
193wo-1.fcs	193wo	LFS	pH193	mNeon	Sc(1-224)Cg(381-533)	TRUE	pho5	40367	35724	33562	31227	1502	2061.99951171875	1.3796678168513394
193wo-2.fcs	193wo	LFS	pH193	mNeon	Sc(1-224)Cg(381-533)	TRUE	pho5	36678	32114	30272	28411	1740.00048828125	2263.00048828125	1.312380947509211
193wo-3.fcs	193wo	LFS	pH193	mNeon	Sc(1-224)Cg(381-533)	TRUE	pho5	38964	35265	33043	30196	1586.000244140625	1886.99951171875	1.199386424933882
188w-1.fcs	188w	LFS	pH188	mNeon	Cg(1-533)	TRUE	pho5	38498	33194	31272	28814	1259.9998779296875	10565.5029296875	8.41632024623339
188w-2.fcs	188w	LFS	pH188	mNeon	Cg(1-533)	TRUE	pho5	37300	33268	31235	29188	1197.9998779296875	9553.5009765625	7.9210669721771
188w-3.fcs	188w	LFS	pH188	mNeon	Cg(1-533)	TRUE	pho5	35956	32232	30050	27193	871.00006103515625	6248.99951171875	7.162867161541883
188wo-1.fcs	188wo	LFS	pH188	mNeon	Cg(1-533)	FALSE	pho5	46136	38577	36427	33705	1063.999755859375	8712.001953125	8.19444221656144
188wo-2.fcs	188wo	LFS	pH188	mNeon	Cg(1-533)	FALSE	pho5	42594	35664	33634	31067	1075	7848.001953125	7.311140091748429
188wo-3.fcs	188wo	LFS	pH188	mNeon	Cg(1-533)	FALSE	pho5	42794	36516	34343	31473	1096.999755859375	7646.998046875	6.9773012817054765
