plate	experiment	group	filename	sample	workspace	compensation	plot.title	gate	X.par	Y.par	count	volume	concentration	pcTotal	pcGated	X.mean	Y.mean	X.median	Y.median	X.peak	Y.peak	X.SD	Y.SD	X.pcCV	Y.pcCV	X.rSD	Y.rSD	X.pcrCV	Y.pcrCV
Plate(4)	Experiment	Group		yH156-1	Experiment	None	N/A	All Events	N/A	N/A	24935	8	3116.875	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group		yH156-1	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	16645	8	2080.625	66.754	66.754	433203	114337	414651	107314	318530	95186	158281.77	47615	36.54	41.64	176079.5	49990.31	42.46	46.58
Plate(4)	Experiment	Group		yH156-1	Experiment	None		R1	Pho4-GFP - BL1-H		10000	8	1250	40.104	40.104	722	N/A	623	N/A	642	N/A	575.74	N/A	79.78	N/A	297.26	N/A	47.71	N/A
Plate(4)	Experiment	Group		yH156-1	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	8	1250	40.104	40.104	91	N/A	75	N/A	87	N/A	120.55	N/A	133.01	N/A	29.65	N/A	39.54	N/A
Plate(4)	Experiment	Group		yH156-1	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	8	1250	40.104	60.078	399635	87	386576	86	318503	88	128313.09	9.1	32.11	10.42	147019.8	8.9	38.03	10.34
Plate(4)	Experiment	Group		yH156-1	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	16645	8	2080.625	66.754	66.754	433203	99	414651	93	318530	94	158281.77	28.05	36.54	28.46	176079.5	14.83	42.46	15.94
Plate(4)	Experiment	Group		yH156-2	Experiment	None	N/A	All Events	N/A	N/A	27479	10	2747.9	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group		yH156-2	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	16979	10	1697.9	61.789	61.789	443855	117401	425161	109992	363491	95246	155922.46	47180.13	35.13	40.19	173298.15	48773.09	40.76	44.34
Plate(4)	Experiment	Group		yH156-2	Experiment	None		R1	Pho4-GFP - BL1-H		10000	10	1000	36.391	36.391	740	N/A	629	N/A	608	N/A	614.67	N/A	83.11	N/A	286.14	N/A	45.49	N/A
Plate(4)	Experiment	Group		yH156-2	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	10	1000	36.391	36.391	94	N/A	76	N/A	87	N/A	129.59	N/A	137.89	N/A	31.13	N/A	40.97	N/A
Plate(4)	Experiment	Group		yH156-2	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	10	1000	36.391	58.896	406091	88	395085	87	363354	84	124435.91	9.09	30.64	10.36	143350.37	8.9	36.28	10.22
Plate(4)	Experiment	Group		yH156-2	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	16979	10	1697.9	61.789	61.789	443855	100	425161	93	363491	94	155922.46	28.2	35.13	28.34	173298.15	14.83	40.76	15.94
Plate(4)	Experiment	Group		yH295-1	Experiment	None	N/A	All Events	N/A	N/A	20433	5	4086.6	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group		yH295-1	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	15250	5	3050	74.634	74.634	360364	103697	342239	94825	296020	68582	136387.8	44309.52	37.85	42.73	137809.89	44188.89	40.27	46.6
Plate(4)	Experiment	Group		yH295-1	Experiment	None		R1	Pho4-GFP - BL1-H		10000	5	2000	48.94	48.94	731	N/A	643	N/A	583	N/A	485.97	N/A	66.45	N/A	296.52	N/A	46.12	N/A
Plate(4)	Experiment	Group		yH295-1	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	5	2000	48.94	48.94	423	N/A	297	N/A	232	N/A	421.78	N/A	99.63	N/A	207.56	N/A	69.89	N/A
Plate(4)	Experiment	Group		yH295-1	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	5	2000	48.94	65.574	348640	85	331890	85	296109	80	112972.16	7.9	32.4	9.25	120003.87	7.41	36.16	8.72
Plate(4)	Experiment	Group		yH295-1	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	15250	5	3050	74.634	74.634	360364	93	342239	88	296020	87	136387.8	26.72	37.85	28.6	137809.89	11.86	40.27	13.48
