N1	N2	O1	O2	P1	P2	Q1	Q2	R1	R2	S1	S2	T1	T2	U1	U2	W1	W2	W3	W4	gene.names
0	1	0	0	0	1	0	0	0	0	0	0	0	0	34	24	0	0	3	0	CAGL0A00105g
0	1	0	0	0	2	0	0	0	0	0	0	0	0	34	24	0	0	3	0	CAGL0A00110g
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A00116g
1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	CAGL0A00132g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	6	7	CAGL0A00154g
283	186	222	135	290	241	170	77	227	97	90	215	89	112	118	84	156	225	226	264	CAGL0A00165g
1094	963	1190	905	1111	1225	1169	919	1004	717	436	671	486	683	529	580	570	546	1776	1607	CAGL0A00187g
4551	4301	5400	3278	4534	3847	4940	2441	4199	1470	2370	2674	2226	3085	2239	1169	1751	1910	2215	1916	CAGL0A00209g
1328	935	1524	954	1390	1280	1100	653	1019	525	357	630	494	427	714	749	461	489	738	608	CAGL0A00231g
1226	1026	1334	927	1216	1159	1361	849	1133	601	682	813	651	856	725	484	555	680	716	706	CAGL0A00253g
1703	1330	2056	1488	1695	1717	1918	1312	1711	896	870	1128	1172	1144	1326	892	925	1001	917	946	CAGL0A00275g
486	426	485	453	607	755	520	451	352	373	264	398	205	342	193	261	432	455	858	814	CAGL0A00297g
560	512	620	504	568	542	594	419	481	337	234	409	248	341	322	422	328	368	442	483	CAGL0A00319g
96	86	46	42	94	82	76	32	43	10	32	40	27	53	61	24	18	23	603	645	CAGL0A00341g
3614	3459	5021	2999	4604	3962	4870	2874	4498	1689	2421	2757	2743	2580	2919	1643	2025	1990	1829	1724	CAGL0A00363g
472	404	639	472	505	501	524	319	644	204	109	228	167	148	167	110	57	47	36	33	CAGL0A00385g
2626	2735	3092	2008	2538	2375	3464	2501	2744	1770	1299	1734	1063	1722	1151	1005	1490	1583	3044	3014	CAGL0A00407g
3256	2727	4027	2497	4138	3266	3158	1746	2856	1089	1569	2393	1672	2221	3217	1696	1391	1635	1063	888	CAGL0A00429g
1591	1296	1996	1406	1720	1722	1711	1230	1343	595	564	977	495	768	993	873	694	709	1012	808	CAGL0A00451g
1855	1360	2508	1757	2060	2044	1845	1377	1916	947	636	1051	1041	895	1342	1184	758	888	616	622	CAGL0A00473g
55199	39140	63580	37892	44924	37788	38810	29249	40286	10386	19734	19087	32819	28385	23065	9697	12505	12884	18989	14488	CAGL0A00495g
1625	1598	1296	910	1165	1193	1289	789	916	446	563	545	358	692	437	286	478	495	1899	1747	CAGL0A00517g
1200	936	1178	934	1314	1254	1182	779	824	525	610	962	643	855	883	670	567	668	1635	1501	CAGL0A00539g
249	225	259	151	210	208	248	118	164	71	111	181	106	168	97	67	85	113	270	210	CAGL0A00561g
513	390	655	402	492	424	473	293	418	172	160	401	147	232	161	147	185	216	227	142	CAGL0A00583g
706	691	646	461	668	589	720	425	573	310	333	387	300	405	406	339	267	292	437	386	CAGL0A00605g
1198	853	1429	953	1048	905	1242	808	1092	379	419	733	597	641	681	356	463	538	105	55	CAGL0A00627g
6	4	6	5	6	6	5	5	3	1	3	11	3	8	3	5	5	9	18	20	CAGL0A00649g
0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	CAGL0A00671r
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	CAGL0A00715g
106	40	30	25	67	40	80	31	24	8	5	6	8	9	20	4	15	17	76	108	CAGL0A00737g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A00759s
1384	1425	1044	677	931	779	1103	582	820	348	242	663	209	380	313	313	349	400	1097	956	CAGL0A00781g
1178	979	1150	768	1121	976	1142	761	1040	434	362	711	372	570	548	404	330	355	650	593	CAGL0A00803g
772	644	803	699	725	785	861	613	780	549	379	548	448	478	410	422	426	485	509	439	CAGL0A00825g
354	249	466	300	446	326	395	251	376	146	116	285	223	196	286	144	139	146	75	63	CAGL0A00847g
443	350	483	443	435	467	502	369	482	312	54	328	64	83	132	327	218	225	340	304	CAGL0A00869g
1041	944	1120	753	1001	929	1191	737	1032	602	485	711	516	677	531	496	479	560	580	554	CAGL0A00891g
871	632	975	703	906	884	748	606	890	397	179	521	244	283	282	344	381	371	303	277	CAGL0A00913g
417	351	905	690	415	543	438	423	582	490	348	522	212	423	126	198	521	613	41	72	CAGL0A00935g
526	688	1000	671	519	548	620	317	639	223	523	637	105	761	93	83	441	467	544	680	CAGL0A00957g
12382	9968	17591	12153	13211	13043	11862	8737	16609	15310	7234	10639	11088	9196	11528	15166	10375	11223	277	324	CAGL0A00979g
831	682	693	512	734	808	556	418	596	325	254	224	332	385	405	314	386	485	207	270	CAGL0A01001g
888	766	940	671	735	925	715	551	836	486	322	390	357	355	390	318	485	493	264	237	CAGL0A01023g
5051	4457	5278	4494	4547	6038	4720	3927	3285	1950	1884	1516	1928	2786	1475	1140	2199	2667	9053	8253	CAGL0A01045g
2576	1883	3606	2986	2973	3142	2579	2167	2868	1728	1453	2187	2013	2050	1818	1439	1667	1797	577	563	CAGL0A01067g
85	113	108	87	196	133	111	67	183	124	61	78	55	81	42	41	43	52	160	172	CAGL0A01089g
2004	1859	1981	1785	1311	1819	1892	1639	1090	481	850	1019	709	1070	648	263	695	885	2748	2896	CAGL0A01111g
896	978	916	514	738	703	954	565	842	337	413	562	331	591	322	242	386	391	1008	864	CAGL0A01133g
567	438	609	500	519	530	580	396	473	334	243	360	258	285	295	304	260	286	216	201	CAGL0A01155g
216	166	291	206	224	219	151	168	148	73	100	128	142	172	165	100	106	128	156	120	CAGL0A01177g
460	358	464	547	477	764	479	340	461	551	221	281	298	296	316	496	403	469	599	553	CAGL0A01193g
1839	1538	3202	3015	1673	1761	2504	2415	3861	1718	1016	1293	1129	981	697	425	649	720	188	172	CAGL0A01199g
2694	2672	3108	2390	2214	2163	2586	1247	3025	1014	2369	2593	1338	3756	477	300	413	712	1361	1682	CAGL0A01221g
42205	35711	873	711	460	789	24965	19689	235	87	684	360	56	1060	117	128	623	729	40206	34288	CAGL0A01243g
326	333	101	84	174	153	289	140	100	65	56	75	45	85	101	99	50	57	320	255	CAGL0A01284g
75	41	69	59	56	54	69	39	56	44	21	24	23	32	23	50	26	31	79	47	CAGL0A01325g
194	181	51	60	50	59	136	72	46	43	35	26	31	44	56	50	21	30	170	179	CAGL0A01366g
