CHR	START	END	Consensus	ScPho4.bound	CgPho4.bound
chr1	68474	69472	TRUE	TRUE	TRUE
chr1	70668	71666	TRUE	TRUE	TRUE
chr1	141266	142264	TRUE	TRUE	TRUE
chr1	143368	144366	TRUE	FALSE	TRUE
chr2	91616	92614	TRUE	TRUE	TRUE
chr2	371065	372063	TRUE	FALSE	TRUE
chr2	431047	431567	TRUE	TRUE	TRUE
chr2	775786	776784	TRUE	FALSE	TRUE
chr2	798241	799239	TRUE	TRUE	TRUE
chr3	50346	50636	TRUE	TRUE	TRUE
chr3	136606	137604	TRUE	TRUE	TRUE
chr3	163093	164091	TRUE	TRUE	TRUE
chr3	196713	197711	TRUE	TRUE	TRUE
chr3	208385	209383	TRUE	FALSE	TRUE
chr3	225625	226623	TRUE	TRUE	TRUE
chr3	298522	299520	TRUE	TRUE	TRUE
chr4	273363	274361	TRUE	TRUE	TRUE
chr4	366170	367168	TRUE	TRUE	TRUE
chr4	410910	411140	TRUE	TRUE	FALSE
chr4	481717	482167	TRUE	TRUE	FALSE
chr4	538716	539714	TRUE	TRUE	TRUE
chr4	562079	563077	TRUE	TRUE	TRUE
chr4	562386	563384	TRUE	TRUE	TRUE
chr4	591205	592203	TRUE	FALSE	TRUE
chr4	622704	623702	TRUE	FALSE	TRUE
chr4	635451	636449	TRUE	FALSE	TRUE
chr4	793766	794764	TRUE	FALSE	TRUE
chr4	954651	955649	TRUE	FALSE	TRUE
chr4	1021996	1022994	TRUE	TRUE	TRUE
chr4	1055402	1056400	TRUE	TRUE	TRUE
chr4	1344830	1345828	TRUE	TRUE	TRUE
chr4	1386886	1387884	TRUE	FALSE	TRUE
chr4	1420183	1421181	TRUE	TRUE	TRUE
chr5	69102	69385	TRUE	TRUE	TRUE
chr5	152565	153563	TRUE	TRUE	TRUE
chr5	191432	192430	TRUE	TRUE	TRUE
chr5	193037	194035	TRUE	FALSE	TRUE
chr5	225447	225817	FALSE	TRUE	TRUE
chr5	257661	258659	TRUE	TRUE	TRUE
chr5	265410	266408	TRUE	TRUE	TRUE
chr5	302053	303051	TRUE	TRUE	TRUE
chr5	312836	313834	TRUE	FALSE	TRUE
chr5	562179	563177	TRUE	FALSE	TRUE
chr6	73390	74388	TRUE	FALSE	TRUE
chr6	130900	131898	TRUE	TRUE	TRUE
chr6	194610	195608	TRUE	FALSE	TRUE
chr6	254906	255904	TRUE	TRUE	TRUE
chr7	94607	94887	TRUE	TRUE	TRUE
chr7	271103	272101	TRUE	FALSE	TRUE
chr7	322324	323322	TRUE	FALSE	TRUE
chr7	432838	433836	TRUE	TRUE	TRUE
chr7	785202	786200	TRUE	TRUE	TRUE
