SEQ_NAME	START	END
chr1	68474	69472
chr1	70668	71666
chr1	141266	142264
chr1	143368	144366
chr2	91616	92614
chr2	371065	372063
chr2	431047	431567
chr2	775786	776784
chr2	798241	799239
chr3	50346	50636
chr3	136606	137604
chr3	136606	137604
chr3	163093	164091
chr3	196713	197711
chr3	208385	209383
chr3	225625	226623
chr3	298522	299520
chr4	273363	274361
chr4	366170	367168
chr4	538716	539714
chr4	562079	563077
chr4	562386	563384
chr4	591205	592203
chr4	622704	623702
chr4	635451	636449
chr4	793766	794764
chr4	954651	955649
chr4	1021996	1022994
chr4	1055402	1056400
chr4	1344830	1345828
chr4	1386886	1387884
chr4	1420183	1421181
chr5	69102	69385
chr5	152565	153563
chr5	191432	192430
chr5	193037	194035
chr5	225447	225817
chr5	257661	258659
chr5	265410	266408
chr5	302053	303051
chr5	312836	313834
chr5	562179	563177
chr6	73390	74388
chr6	130900	131898
chr6	194610	195608
chr6	254906	255904
chr7	94607	94887
chr7	271103	272101
chr7	322324	323322
chr7	432838	433836
chr7	432838	433836
chr7	785202	786200
chr7	957950	958948
chr7	999675	1000673
chr8	174731	175729
chr8	235578	236576
chr8	374530	375528
chr8	374530	375528
chr8	551391	551812
chr9	332767	333766
chr9	365388	366386
chr9	406251	407249
chr9	406251	407249
chr9	420086	421084
chr10	76156	77154
chr10	122913	123911
chr10	159600	160598
chr10	159600	160598
chr10	191742	192740
chr10	313049	314047
chr10	337416	338414
chr10	412920	413918
chr10	544945	545943
chr10	544945	545943
chr10	547999	548997
chr10	703204	704202
chr11	341603	342602
chr11	506385	507383
chr11	506385	507383
chr11	526478	527476
chr12	416455	417453
chr12	550614	551612
chr12	677176	678174
chr12	677176	678174
chr12	731646	732644
chr12	937000	937700
chr13	25610	26608
chr13	109660	110034
chr13	208605	209603
chr13	208605	209603
chr13	275124	275574
chr13	286795	287793
chr13	592377	593375
chr13	652499	653497
chr13	652499	653497
chr13	688656	689654
chr13	773266	774264
chr13	777082	778080
chr13	777082	778080
chr13	851634	852632
chr14	32967	33965
chr14	226449	227447
chr14	226449	227447
chr14	477612	478610
chr14	545877	546377
chr14	700774	701772
chr14	727718	728716
chr14	738508	739506
chr15	49849	50847
chr15	68706	69704
chr15	217094	218092
chr15	391305	391920
chr15	641997	642995
chr15	641997	642995
chr15	677087	678085
chr15	911474	912472
chr15	978654	979652
chr16	74483	75481
chr16	214862	215860
chr16	225899	226897
chr16	344623	345621
chr16	424748	425746
chr16	453093	454091
chr16	516762	517760
chr16	516762	517760
chr16	640772	641770
chr16	719151	720149
chr16	839931	840929
chr16	839931	840929
chr16	927275	928612
