SEQ_NAME	START	END
chr1	348	363
chr1	16190	16205
chr1	29367	29382
chr1	31705	31720
chr1	35429	35444
chr1	45397	45412
chr1	45475	45490
chr1	68816	68831
chr1	69065	69080
chr1	71259	71274
chr1	78306	78321
chr1	100147	100162
chr1	106712	106727
chr1	113622	113637
chr1	116537	116552
chr1	119744	119759
chr1	127303	127318
chr1	141860	141875
chr1	143962	143977
chr1	160044	160059
chr1	190749	190764
chr2	26890	26905
chr2	39918	39933
chr2	62388	62403
chr2	63516	63531
chr2	84023	84038
chr2	91120	91135
chr2	92207	92222
chr2	115599	115614
chr2	116597	116612
chr2	167746	167761
chr2	173880	173895
chr2	194285	194300
chr2	198178	198193
chr2	205002	205017
chr2	258404	258419
chr2	269729	269744
chr2	290134	290149
chr2	309970	309985
chr2	329403	329418
chr2	336850	336865
chr2	371550	371565
chr2	371659	371674
chr2	379495	379510
chr2	426190	426205
chr2	427029	427044
chr2	431194	431209
chr2	458031	458046
chr2	461226	461241
chr2	466576	466591
chr2	472892	472907
chr2	501258	501273
chr2	509491	509506
chr2	509643	509658
chr2	545615	545630
chr2	568964	568979
chr2	586712	586727
chr2	594580	594595
chr2	617264	617279
chr2	644831	644846
chr2	650154	650169
chr2	668777	668792
chr2	668794	668809
chr2	678527	678542
chr2	706653	706668
chr2	709797	709812
chr2	776380	776395
chr2	798835	798850
chr3	20308	20323
chr3	32909	32924
chr3	50476	50491
chr3	50504	50519
chr3	54267	54282
chr3	66363	66378
chr3	137197	137212
chr3	163684	163699
chr3	191217	191232
chr3	197307	197322
chr3	208979	208994
chr3	213478	213493
chr3	213770	213785
chr3	222146	222161
chr3	226216	226231
chr3	262590	262605
chr3	264895	264910
chr3	265268	265283
chr3	288841	288856
chr3	299113	299128
chr3	309479	309494
chr4	24613	24628
chr4	46430	46445
chr4	56843	56858
chr4	73818	73833
chr4	89397	89412
chr4	109415	109430
chr4	116786	116801
chr4	128868	128883
chr4	131343	131358
chr4	140855	140870
chr4	148226	148241
chr4	149992	150007
chr4	150709	150724
chr4	161381	161396
chr4	172608	172623
chr4	203449	203464
chr4	204273	204288
chr4	273954	273969
chr4	286912	286927
chr4	293219	293234
chr4	345141	345156
chr4	366764	366779
chr4	411003	411018
chr4	439438	439453
chr4	461794	461809
chr4	468211	468226
chr4	480865	480880
chr4	481852	481867
chr4	487097	487112
chr4	489341	489356
chr4	539310	539325
chr4	547250	547265
chr4	562670	562685
chr4	562966	562981
chr4	562977	562992
chr4	574002	574017
chr4	591796	591811
chr4	598304	598319
chr4	623298	623313
chr4	632424	632439
chr4	634159	634174
chr4	636042	636057
chr4	662534	662549
chr4	723374	723389
chr4	731297	731312
chr4	739343	739358
chr4	740151	740166
chr4	763256	763271
chr4	794064	794079
chr4	794360	794375
chr4	797546	797561
chr4	825754	825769
chr4	842167	842182
chr4	889050	889065
chr4	893101	893116
chr4	928915	928930
chr4	935902	935917
chr4	955242	955257
chr4	964933	964948
chr4	970965	970980
chr4	1004165	1004180
chr4	1022590	1022605
chr4	1041025	1041040
chr4	1051369	1051384
chr4	1055996	1056011
chr4	1084810	1084825
chr4	1092844	1092859
chr4	1147325	1147340
chr4	1197472	1197487
chr4	1213715	1213730
chr4	1215097	1215112
chr4	1234428	1234443
chr4	1239203	1239218
chr4	1241410	1241425
chr4	1260392	1260407
chr4	1266595	1266610
chr4	1271168	1271183
chr4	1291634	1291649
chr4	1300708	1300723
chr4	1315465	1315480
chr4	1329997	1330012
chr4	1337935	1337950
chr4	1337956	1337971
chr4	1345421	1345436
chr4	1354322	1354337
chr4	1357884	1357899
chr4	1378321	1378336
chr4	1387477	1387492
chr4	1416707	1416722
chr4	1420774	1420789
chr4	1434297	1434312
chr4	1452966	1452981
chr4	1454777	1454792
chr4	1455986	1456001
chr4	1464053	1464068
chr4	1466872	1466887
chr4	1469128	1469143
chr4	1497863	1497878
chr4	1521465	1521480
chr5	2072	2087
chr5	13475	13490
chr5	43288	43303
chr5	67205	67220
chr5	69279	69294
chr5	70322	70337
chr5	92621	92636
chr5	105038	105053
chr5	107044	107059
chr5	124380	124395
chr5	153159	153174
chr5	170077	170092
chr5	190679	190694
chr5	192023	192038
chr5	192080	192095
chr5	193631	193646
chr5	203889	203904
chr5	237350	237365
chr5	254744	254759
chr5	258252	258267
chr5	260258	260273
chr5	266004	266019
chr5	271290	271305
chr5	275707	275722
chr5	278520	278535
chr5	280929	280944
chr5	288937	288952
chr5	302644	302659
chr5	313427	313442
chr5	338070	338085
chr5	342690	342705
chr5	358371	358386
chr5	359178	359193
chr5	369485	369500
chr5	375201	375216
chr5	386992	387007
chr5	394149	394164
chr5	411385	411400
chr5	414759	414774
chr5	416439	416454
chr5	462544	462559
chr5	490057	490072
chr5	506239	506254
chr5	519338	519353
chr5	545210	545225
chr5	562773	562788
chr5	569188	569203
chr5	570034	570049
chr6	15596	15611
chr6	21344	21359
chr6	31821	31836
chr6	63312	63327
chr6	73984	73999
chr6	84279	84294
chr6	90386	90401
chr6	103396	103411
chr6	131494	131509
chr6	163260	163275
chr6	176080	176095
chr6	188348	188363
chr6	195204	195219
chr6	209545	209560
chr6	213058	213073
chr6	213076	213091
chr6	213506	213521
chr6	225016	225031
chr6	228159	228174
chr6	234451	234466
chr6	236089	236104
chr6	248231	248246
chr6	255500	255515
chr6	263261	263276
chr7	34915	34930
chr7	41866	41881
chr7	46645	46660
chr7	68203	68218
chr7	94728	94743
chr7	131583	131598
chr7	136402	136417
chr7	142710	142725
chr7	194103	194118
chr7	226202	226217
chr7	251802	251817
chr7	269088	269103
chr7	271694	271709
chr7	271912	271927
chr7	271993	272008
chr7	322918	322933
chr7	343921	343936
chr7	360837	360852
chr7	365351	365366
chr7	384705	384720
chr7	396785	396800
chr7	416064	416079
chr7	419684	419699
chr7	433429	433444
chr7	444234	444249
chr7	444878	444893
chr7	454006	454021
chr7	521916	521931
chr7	547370	547385
chr7	554181	554196
chr7	583423	583438
chr7	591634	591649
chr7	591882	591897
chr7	609917	609932
chr7	639192	639207
chr7	644821	644836
chr7	683199	683214
chr7	683341	683356
chr7	712826	712841
chr7	731389	731404
chr7	747349	747364
chr7	785793	785808
chr7	785943	785958
chr7	798133	798148
chr7	809292	809307
chr7	890453	890468
chr7	895210	895225
chr7	902423	902438
chr7	905695	905710
chr7	906013	906028
chr7	951405	951420
chr7	958544	958559
chr7	968751	968766
chr7	1000266	1000281
chr7	1021359	1021374
chr7	1051314	1051329
chr8	72394	72409
chr8	79833	79848
chr8	98626	98641
chr8	98653	98668
chr8	120027	120042
chr8	123878	123893
chr8	144754	144769
chr8	157921	157936
chr8	174705	174720
chr8	174754	174769
chr8	175325	175340
chr8	190296	190311
chr8	198670	198685
chr8	218302	218317
chr8	236169	236184
chr8	247526	247541
chr8	263168	263183
chr8	272419	272434
chr8	279724	279739
chr8	302554	302569
chr8	313701	313716
chr8	320523	320538
chr8	321121	321136
chr8	328529	328544
chr8	336018	336033
chr8	355029	355044
chr8	369474	369489
chr8	371964	371979
chr8	375121	375136
chr8	375180	375195
chr8	375237	375252
chr8	383455	383470
chr8	418190	418205
chr8	439887	439902
chr8	446555	446570
chr8	489456	489471
chr8	508239	508254
chr8	509932	509947
chr8	527843	527858
chr8	551811	551826
chr9	21746	21761
chr9	76979	76994
chr9	96329	96344
chr9	116935	116950
chr9	117780	117795
chr9	121252	121267
chr9	128209	128224
chr9	135374	135389
chr9	144528	144543
chr9	145407	145422
chr9	179261	179276
chr9	179508	179523
chr9	188647	188662
chr9	194138	194153
chr9	199574	199589
chr9	212705	212720
chr9	222777	222792
chr9	268024	268039
chr9	268469	268484
chr9	269867	269882
chr9	270296	270311
chr9	275521	275536
chr9	292332	292347
chr9	310065	310080
chr9	318338	318353
chr9	330542	330557
chr9	365979	365994
chr9	384328	384343
chr9	384670	384685
chr9	406845	406860
chr9	420677	420692
chr9	436168	436183
chr10	28183	28198
chr10	37802	37817
chr10	76747	76762
chr10	99385	99400
chr10	106188	106203
chr10	123393	123408
chr10	123507	123522
chr10	129657	129672
chr10	133354	133369
chr10	136942	136957
chr10	147443	147458
chr10	160191	160206
chr10	160209	160224
chr10	178058	178073
chr10	192336	192351
chr10	192938	192953
chr10	195469	195484
chr10	236453	236468
chr10	236713	236728
chr10	260887	260902
chr10	274011	274026
chr10	279296	279311
chr10	279737	279752
chr10	311453	311468
chr10	313640	313655
chr10	316753	316768
chr10	317296	317311
chr10	319784	319799
chr10	320540	320555
chr10	323228	323243
chr10	333834	333849
chr10	338010	338025
chr10	341117	341132
chr10	359951	359966
chr10	361778	361793
chr10	371503	371518
chr10	399999	400014
chr10	408274	408289
chr10	413502	413517
chr10	413514	413529
chr10	455072	455087
chr10	455874	455889
chr10	464901	464916
chr10	494865	494880
chr10	504514	504529
chr10	527997	528012
chr10	545539	545554
chr10	548586	548601
chr10	557218	557233
chr10	570676	570691
chr10	573408	573423
chr10	575510	575525
chr10	580859	580874
chr10	628778	628793
chr10	639166	639181
chr10	683579	683594
chr10	683608	683623
chr10	703795	703810
chr10	710204	710219
chr10	721500	721515
chr11	8147	8162
chr11	44736	44751
chr11	67025	67040
chr11	67747	67762
chr11	69313	69328
chr11	82582	82597
chr11	100717	100732
chr11	113589	113604
chr11	118218	118233
chr11	121352	121367
chr11	126523	126538
chr11	126655	126670
chr11	143653	143668
chr11	147626	147641
chr11	150530	150545
chr11	154706	154721
chr11	194802	194817
chr11	195922	195937
chr11	199848	199863
chr11	206900	206915
chr11	207035	207050
chr11	216653	216668
chr11	221610	221625
chr11	233435	233450
chr11	274823	274838
chr11	277887	277902
chr11	279428	279443
chr11	289276	289291
chr11	319737	319752
chr11	340413	340428
chr11	342198	342213
chr11	408246	408261
chr11	426667	426682
chr11	429131	429146
chr11	462640	462655
chr11	488020	488035
chr11	506979	506994
chr11	524566	524581
chr11	527069	527084
chr11	544249	544264
chr11	546199	546214
chr11	551232	551247
chr11	558799	558814
chr11	562128	562143
chr11	568910	568925
chr11	571339	571354
chr11	577321	577336
chr11	587942	587957
chr11	610864	610879
chr11	634872	634887
chr11	645966	645981
chr12	72684	72699
chr12	100852	100867
chr12	127630	127645
chr12	128769	128784
chr12	131013	131028
chr12	140867	140882
chr12	172945	172960
